_id,facility_name,facility_submission_status,infected_residents,infected_staff,resident_deaths
371,INDIANA VETERANS HOME,Data Submitted,0,< 5,0
372,JEWEL PLACE,Data Submitted,0,0,0
373,JOURNEY SENIOR LIVING OF MERRILLVILLE,Data Submitted,27,12,< 5
374,JOURNEY SENIOR LIVING OF VALPARAISO,Data Submitted,0,< 5,0
375,KEEPSAKE VILLAGE OF COLUMBUS,Data Submitted,16,5,< 5
376,KENDALLVILLE MANOR,Data Submitted,0,< 5,0
377,KESSLERWOOD PLACE,Data Submitted,33,9,13
378,KEYSTONE WOODS,Data Submitted,17,7,< 5
379,KINGSTON AT DUPONT,Data Submitted,0,< 5,0
380,KINGSTON CARE CENTER OF FORT WAYNE,Data Submitted,53,48,15
381,KINGSTON RESIDENCE OF FORT WAYNE,Data Submitted,0,< 5,0
382,KOKOMO HEALTHCARE CENTER,Data Submitted,39,7,< 5
383,KOKOMO PLACE,Data Submitted,0,< 5,0
384,LAFAYETTE BICKFORD COTTAGE,Data Submitted,0,0,0
385,LAKE CITY PLACE,Data Submitted,< 5,< 5,0
386,LAKE COUNTY NURSING AND REHABILITATION CENTER,Data Submitted,26,11,< 5
387,LAKE PARK RESIDENTIAL CARE,Data Submitted,0,< 5,0
388,LAKE PARK RESIDENTIAL CARE,Data Submitted,0,< 5,0
389,LAKEVIEW MANOR,Data Submitted,19,< 5,0
390,LAMPLIGHT INN OF FORT WAYNE,Data Submitted,< 5,< 5,0
391,LEGACY LIVING OF JASPER,Data Submitted,0,< 5,0
392,LIBERTY VILLAGE,Data Submitted,34,16,13
393,LIFE CARE CENTER OF FORT WAYNE,Data Submitted,0,18,0
394,LIFE CARE CENTER OF LAGRANGE,Data Submitted,< 5,< 5,0
395,LIFE CARE CENTER OF MICHIGAN CITY,Data Submitted,< 5,< 5,0
396,LIFE CARE CENTER OF ROCHESTER,Data Submitted,0,< 5,0
397,LIFE CARE CENTER OF THE WILLOWS,Data Submitted,51,20,11
398,LIFE CARE CENTER OF VALPARAISO,Data Submitted,8,22,0
399,LINCOLN HILLS OF NEW ALBANY,Data Submitted,64,23,6
400,LINCOLNSHIRE HEALTH & REHABILITATION CENTER,Data Submitted,11,12,< 5
401,LINCOLNSHIRE PLACE - FORT WAYNE,Data Submitted,0,< 5,0
402,LINDBERG CROSSING SENIOR LIVING,Data Submitted,< 5,< 5,< 5
403,LODGE OF THE WABASH,Data Submitted,39,19,< 5
404,LOOGOOTEE HEALTHCARE & REHABILITATION CENTER,Data Submitted,5,5,< 5
405,LOOGOOTEE NURSING CENTER,Data Submitted,< 5,< 5,0
406,LUTHERAN COMMUNITY HOME,Data Submitted,30,32,< 5
407,LUTHERAN LIFE VILLAGES,Data Submitted,63,43,19
408,LUTHERAN LIFE VILLAGES AT KENDALLVILLE,Data Submitted,66,27,13
409,LUTHERAN LIFE VILLAGES AT PINE VALLEY,Data Submitted,< 5,13,0
410,LYND PLACE,Data Submitted,10,< 5,5
411,LYNHURST HEALTHCARE,Data Submitted,22,5,< 5
412,MAJESTIC CARE OF AVON,Data Submitted,76,25,9
413,MAJESTIC CARE OF CONNERSVILLE,Data Submitted,69,37,11
414,MAJESTIC CARE OF FORT WAYNE,Data Submitted,48,< 5,9
415,MAJESTIC CARE OF FORT WAYNE,Data Submitted,0,< 5,0
416,MAJESTIC CARE OF NEW HAVEN,Data Submitted,38,17,< 5
417,MAJESTIC CARE OF NORTH VERNON,Data Submitted,24,16,8
418,MAJESTIC CARE OF SHERIDAN,Data Submitted,0,7,0
419,MAJESTIC CARE OF WEST ALLEN,Data Submitted,41,21,5
420,MANDERLEY HEALTH CARE CENTER,Data Submitted,< 5,5,0
421,MANOR CARE HEALTH SERVICES SUMMER TRACE,Data Submitted,< 5,< 5,0
422,MANORCARE HEALTH SERVICES,Data Submitted,5,8,< 5
423,MAPLE MANOR CHRISTIAN HOME,Data Submitted,< 5,< 5,0
424,MARQUETTE,Data Submitted,23,18,8
425,MASON HEALTH CARE CENTER,Data Submitted,18,16,5
426,MCCORDSVILLE SENIOR LIVING,Data Submitted,9,6,5
427,MCGIVNEY HEALTH CARE CENTER,Data Submitted,17,< 5,< 5
428,MCKINNEY PLACE,Data Submitted,0,< 5,0
429,MEADOW BROOK SENIOR LIVING,Data Submitted,0,< 5,0
430,MEADOWOOD HEALTH PAVILION,Data Submitted,< 5,9,0
431,MEADOWS MANOR EAST,Data Submitted,11,24,6
432,MEADOWS MANOR NORTH,Data Submitted,37,16,6
433,MEMORIAL HOSPITAL - SKILLED CARING CENTER,Data Submitted,< 5,6,0
434,MERIDIAN NURSING AND REHABILITATION CENTER,Data Submitted,16,6,< 5
435,MIDDLETOWN NURSING AND REHABILITATION CENTER,Data Submitted,< 5,< 5,0
436,MILL POND HEALTH CAMPUS,Data Submitted,7,5,0
437,MILLER BEACH TERRACE,Data Submitted,0,< 5,0
438,MILLER'S AT OAK POINTE,Data Submitted,31,27,6
439,MILLER'S HEALTH & REHAB,Data Submitted,11,18,0
440,MILLER'S MERRY MANOR - CHESTERFIELD,Data Submitted,0,6,0
441,MILLER'S MERRY MANOR - COLUMBIA CITY,Data Submitted,< 5,17,0
442,MILLER'S MERRY MANOR - CULVER,Data Submitted,36,21,6
443,MILLER'S MERRY MANOR - DUNKIRK,Data Submitted,5,12,0
444,MILLER'S MERRY MANOR - FORT WAYNE,Data Submitted,9,< 5,< 5
445,MILLER'S MERRY MANOR - GARRETT,Data Submitted,< 5,5,0
446,MILLER'S MERRY MANOR - HARTFORD CITY,Data Submitted,14,7,< 5
447,MILLER'S MERRY MANOR - HOBART,Data Submitted,31,11,7
448,MILLER'S MERRY MANOR - HOPE,Data Submitted,18,10,< 5
449,MILLER'S MERRY MANOR - HUNTINGTON,Data Submitted,< 5,18,0
450,MILLER'S MERRY MANOR - INDY EAST,Data Submitted,53,25,9
451,MILLER'S MERRY MANOR - LAGRANGE,Data Submitted,14,8,6
452,MILLER'S MERRY MANOR - LOGANSPORT,Data Submitted,61,35,0
453,MILLER'S MERRY MANOR - MARION,Data Submitted,< 5,< 5,0
454,MILLER'S MERRY MANOR - MIDDLETOWN,Data Submitted,0,< 5,0
455,MILLER'S MERRY MANOR - MOORESVILLE,Data Submitted,< 5,5,0
456,MILLER'S MERRY MANOR - NEW CARLISLE,Data Submitted,< 5,< 5,0
457,MILLER'S MERRY MANOR - PERU,Data Submitted,22,11,< 5
458,MILLER'S MERRY MANOR - PLYMOUTH,Data Submitted,62,38,19
459,MILLER'S MERRY MANOR - ROCKPORT,Data Submitted,< 5,19,0
460,MILLER'S MERRY MANOR - RUSHVILLE,Data Submitted,< 5,5,0
461,MILLER'S MERRY MANOR - SULLIVAN,Data Submitted,24,12,8
462,MILLER'S MERRY MANOR - SYRACUSE,Data Submitted,< 5,10,0
463,MILLER'S MERRY MANOR - TIPTON,Data Submitted,78,25,17
464,MILLER'S MERRY MANOR - WABASH EAST,Data Submitted,5,8,0
465,MILLER'S MERRY MANOR - WABASH WEST,Data Submitted,< 5,< 5,0
466,MILLER'S MERRY MANOR - WAKARUSA,Data Submitted,90,44,17
467,MILLER'S MERRY MANOR - WALKERTON,Data Submitted,< 5,8,0
468,MILLER'S MERRY MANOR - WARSAW,Data Submitted,25,31,5
469,MILLER'S SENIOR LIVING COMMUNITY,Data Submitted,22,15,7
470,MILNER COMMUNITY HEALTH CARE,Data Submitted,0,< 5,0
471,MITCHELL MANOR,Data Submitted,49,10,15
472,MONROE PLACE,Data Submitted,< 5,0,< 5
473,MORGANTOWN HEALTH CARE,Data Submitted,11,5,0
474,MORNING BREEZE RETIREMENT COMMUNITY AND HEALTHCARE,Data Submitted,34,18,9
475,MORNING POINTE OF FRANKLIN,Data Submitted,< 5,< 5,< 5
476,MORNING VIEW NURSING AND REHABILITATION CENTER,Data Submitted,8,< 5,< 5
477,MORRISON WOODS HEALTH CAMPUS,Data Submitted,< 5,5,0
478,MORRISTOWN MANOR,Data Submitted,62,18,14
479,MULBERRY HEALTH & REHABILITATION CENTER,Data Submitted,44,50,8
480,MUNSTER MED-INN,Data Submitted,59,35,22
481,NEW ALBANY NURSING AND REHABILITATION CENTER,Data Submitted,69,5,7
482,NEWBURGH HEALTH CARE,Data Submitted,7,10,< 5
483,NORTH RIDGE VILLAGE NURSING & REHABILITATION CENTER,Data Submitted,< 5,< 5,0
484,NORTH RIVER HEALTH CAMPUS,Data Submitted,6,10,< 5
485,NORTH WOODS VILLAGE AT EDISON LAKES,Data Submitted,19,11,< 5
486,NORTH WOODS VILLAGE AT INVERNESS LAKE,Data Submitted,< 5,< 5,< 5
487,NORTHERN LAKES NURSING AND REHABILITATION CENTER,Data Submitted,0,8,0
488,NORTHVIEW HEALTH AND LIVING,Data Submitted,< 5,5,< 5
489,NORTHWEST MANOR HEALTH CARE CENTER,Data Submitted,77,58,24
490,OAK GROVE CHRISTIAN RETIREMENT VILLAGE,Data Submitted,0,< 5,0
491,OAK VILLAGE,Data Submitted,0,6,0
492,OAKBROOK VILLAGE,Data Submitted,< 5,< 5,0
493,OAKWOOD HEALTH CAMPUS,Data Submitted,66,39,18
494,OASIS AT 30TH,Data Submitted,< 5,0,0
495,OASIS AT 56TH,Data Submitted,0,0,0
496,OASIS DEMENTIA CARE,Data Submitted,5,< 5,0
497,ORCHARD POINTE HEALTH CAMPUS,Data Submitted,< 5,5,0
498,OSSIAN HEALTH CARE AND REHABILITATION CENTER,Data Submitted,40,22,< 5
499,OTTERBEIN FRANKLIN SENIORLIFE COMM & COM CARE,Data Submitted,60,39,18
500,OWEN VALLEY HEALTH CAMPUS,Data Submitted,0,< 5,0
501,PADDOCK SPRINGS,Data Submitted,< 5,18,< 5
502,PAOLI HEALTH AND LIVING COMMUNITY,Data Submitted,75,26,19
503,PARK PLACE HEALTH AND WELLNESS CENTER,Data Submitted,8,11,< 5
504,PARK PLACE SENIOR LIVING,Data Submitted,< 5,13,< 5
505,PARKER HEALTH CARE & REHABILITATION CENTER,Data Submitted,< 5,9,0
506,PARKVIEW CARE CENTER,Data Submitted,30,9,0
507,PARKVIEW HAVEN,Data Submitted,0,0,0
508,PEABODY RETIREMENT COMMUNITY,Data Submitted,52,101,7
509,PERSIMMON RIDGE REHABILITATION CENTRE,Data Submitted,26,19,< 5
510,PILGRIM MANOR,Data Submitted,< 5,12,0
511,PINE HAVEN HEALTH AND REHABILITATION CENTER,Data Submitted,66,16,6
512,PINE KNOLL ASSISTED LIVING CENTER,Data Submitted,0,< 5,0
513,PINEKNOLL REHABILITATION CENTRE,Data Submitted,39,25,< 5
514,PLAINFIELD HEALTH CARE CENTER,Data Submitted,< 5,5,< 5
515,PLEASANT VIEW LODGE,Data Submitted,0,< 5,0
516,PORTAGE MANOR HEALTH CARE FACILITY,Data Submitted,8,< 5,0
517,PRAIRIE LAKES HEALTH CAMPUS,Data Submitted,32,23,0
518,PREMIER HEALTHCARE OF NEW HARMONY,Data Submitted,0,0,0
519,PRESENCE SACRED HEART HOME,Data Submitted,31,12,11
520,PRIMROSE MEMORY CARE OF ANDERSON,Data Submitted,0,0,0
521,PRIMROSE OF MISHAWAKA,Data Submitted,< 5,< 5,0
522,PRIMROSE OF NEWBURGH,Data Submitted,< 5,0,0
523,PRIMROSE RETIREMENT COMMUNITY OF ANDERSON,Data Submitted,0,0,0
524,PRIMROSE RETIREMENT COMMUNITY OF KOKOMO,Data Submitted,12,11,< 5
525,PROVIDENCE ANDERSON,Data Submitted,11,< 5,7
526,PROVIDENCE HEALTH CARE CENTER,Data Submitted,< 5,12,0
527,PULASKI HEALTH CARE CENTER,Data Submitted,25,10,9
528,RANDOLPH NURSING HOME,Data Submitted,< 5,6,0
529,RAWLINS HOUSE HEALTH & LIVING COMMUNITY,Data Submitted,10,18,< 5
530,REHABILITATION CENTER AT HARTSFIELD VILLAGE,Data Submitted,7,10,< 5
531,RENSSELAER CARE CENTER,Data Submitted,14,10,0
532,RESIDENCES AT COFFEE CREEK,Data Submitted,19,11,< 5
533,RESIDENCES AT DEER CREEK,Data Submitted,< 5,< 5,0
534,RETREAT AT THE STRATFORD,Data Submitted,15,18,5
535,RICHLAND BEAN BLOSSOM HEALTH CARE CENTER,Data Submitted,< 5,< 5,< 5
536,RIDGEWOOD HEALTH CAMPUS,Data Submitted,29,7,< 5
537,RIPLEY CROSSING,Data Submitted,32,36,< 5
538,RITTENHOUSE VILLAGE AT MICHIGAN CITY,Data Submitted,26,9,8
539,RITTENHOUSE VILLAGE AT NORTHSIDE,Data Submitted,< 5,0,< 5
540,RITTENHOUSE VILLAGE AT PORTAGE,Data Submitted,8,9,0
541,RITTENHOUSE VILLAGE AT VALPARAISO,Data Submitted,0,0,0
542,RIVER CROSSING ASSISTED LIVING,Data Submitted,0,< 5,0
543,RIVER POINTE HEALTH CAMPUS,Data Submitted,< 5,14,0
544,RIVER TERRACE HEALTH CAMPUS,Data Submitted,< 5,< 5,0
545,RIVER TERRACE HEALTH CARE CENTER,Data Submitted,0,< 5,0
546,RIVERBEND,Data Submitted,0,< 5,0
547,RIVEROAKS HEALTH CAMPUS,Data Submitted,51,21,8
548,RIVERWALK COMMUNITIES,Data Submitted,11,6,< 5
549,ROBIN RUN,Data Submitted,< 5,< 5,< 5
550,ROBIN RUN HEALTH CENTER,Data Submitted,33,13,5
551,ROLLING HILLS HEALTHCARE CENTER,Data Submitted,10,9,0
552,ROLLING MEADOWS HEALTH CARE CENTER,Data Submitted,< 5,0,< 5
553,ROLLING MEADOWS HEALTH CARE CENTER,Data Submitted,44,11,10
554,ROSE SENIOR LIVING CARMEL,Data Submitted,11,< 5,0
555,ROSEWOOD MANOR,Data Submitted,< 5,< 5,0
556,RURAL HEALTH CARE CENTER,Data Submitted,< 5,< 5,< 5
557,SAGE BLUFF HEALTH & REHAB CENTER,Data Submitted,0,0,0
558,SAINT ANNE COMMUNITIES - RANDALLIA PLACE,Data Submitted,< 5,14,0
559,SAINT ANNE COMMUNITIES - VICTORY NOLL,Data Submitted,0,6,0
560,SAINT ANTHONY - CROWN POINT,Data Submitted,80,30,23
561,SAINT ANTHONY REHAB AND NURSING CENTER,Data Submitted,0,< 5,0
562,SANCTUARY AT HOLY CROSS,Data Submitted,85,43,26
563,SANCTUARY AT ST PAUL'S,Data Submitted,21,23,7
564,SANDERS GLEN,Data Submitted,< 5,< 5,0
565,SCENIC HILLS AT THE MONASTERY,Data Submitted,< 5,12,< 5
566,SEBO'S NURSING AND REHABILITATION CENTER,Data Submitted,58,26,18
567,SELLERSBURG HEALTHCARE CENTER,Data Submitted,17,16,< 5
568,SENIOR SUITES AT THE LELAND,Data Submitted,0,< 5,0
569,SETTLERS PLACE,Data Submitted,0,0,0
570,SEYMOUR PLACE,Data Submitted,0,< 5,0
571,SHADY NOOK CARE CENTER,Data Submitted,57,18,18
572,SIGNATURE HEALTHCARE AT PARKWOOD,Data Submitted,54,38,12
573,SIGNATURE HEALTHCARE OF BLUFFTON,Data Submitted,9,13,< 5
574,SIGNATURE HEALTHCARE OF BREMEN,Data Submitted,< 5,8,0
575,SIGNATURE HEALTHCARE OF FORT WAYNE,Data Submitted,0,18,0
576,SIGNATURE HEALTHCARE OF LAFAYETTE,Data Submitted,15,10,0
577,SIGNATURE HEALTHCARE OF MUNCIE,Data Submitted,72,29,9
578,SIGNATURE HEALTHCARE OF NEWBURGH,Data Submitted,89,25,21
579,SIGNATURE HEALTHCARE OF SOUTH BEND,Data Submitted,29,9,< 5
580,SIGNATURE HEALTHCARE OF TERRE HAUTE,Data Submitted,90,61,14
581,SILVER BIRCH OF COOK ROAD,Data Submitted,0,0,0
582,SILVER BIRCH OF EVANSVILLE,Data Submitted,< 5,< 5,0
583,SILVER BIRCH OF FORT WAYNE,Data Submitted,0,< 5,0
584,SILVER BIRCH OF HAMMOND,Data Submitted,< 5,< 5,0
585,SILVER BIRCH OF KOKOMO,Data Submitted,< 5,0,0
586,SILVER BIRCH OF MICHIGAN CITY,Data Submitted,< 5,5,0
587,SILVER BIRCH OF MISHAWAKA,Data Submitted,0,< 5,0
588,SILVER BIRCH OF MUNCIE,Data Submitted,< 5,< 5,< 5
589,SILVER BIRCH OF TERRE HAUTE,Data Submitted,0,< 5,0
590,SILVER MEMORIES HEALTH CARE,Data Submitted,0,0,0
591,SILVER OAKS HEALTH CAMPUS,Data Submitted,5,7,< 5
592,SIMMONS LOVING CARE HEALTH FACILITY,Data Submitted,0,0,0
593,SOLARBON TERRACE,Data Submitted,22,15,< 5
594,SOUTH SHORE HEALTH & REHABILITATION CENTER,Data Submitted,34,16,8
595,SOUTHERN INDIANA REHABILITATION HOSPITAL,Data Submitted,6,< 5,< 5
596,SOUTHFIELD VILLAGE,Data Submitted,17,12,0
597,SOUTHPOINTE HEALTHCARE CENTER,Data Submitted,20,15,7
598,SOUTHWOOD HEALTHCARE CENTER,Data Submitted,57,28,7
599,SPRENGER HEALTH CARE OF MISHAWAKA,Data Submitted,13,9,< 5
600,SPRING MILL HEALTH CAMPUS,Data Submitted,11,17,< 5
601,SPRINGHURST HEALTH CAMPUS,Data Submitted,< 5,5,0
602,ST ANDREWS HEALTH CAMPUS,Data Submitted,10,14,0
603,ST AUGUSTINE HOME FOR THE AGED,Data Submitted,14,10,< 5
604,ST CHARLES HEALTH CAMPUS,Data Submitted,36,28,10
605,ST ELIZABETH HEALTHCARE CENTER,Data Submitted,42,36,11
606,ST MARY HEALTHCARE CENTER,Data Submitted,0,< 5,0
607,ST PAUL HERMITAGE,Data Submitted,8,13,< 5
608,STONEBRIDGE HEALTH CAMPUS,Data Submitted,55,34,10
609,STONECROFT HEALTH CAMPUS,Data Submitted,6,8,< 5
610,SUGAR CREEK REHABILITATION AND CONVALESCENT CENTER,Data Submitted,0,< 5,0
611,SUGAR FORK CROSSING,Data Submitted,< 5,< 5,0
612,SUGAR GROVE SENIOR LIVING,Data Submitted,< 5,0,< 5
613,SUMMERFIELD HEALTH CARE CENTER,Data Submitted,0,0,0
614,SUMMIT HEALTH AND LIVING,Data Submitted,18,27,< 5
615,SUMMIT PLACE WEST,Data Submitted,0,0,0
616,SUNRISE ON OLD MERIDIAN,Data Submitted,< 5,6,0
617,SWISS VILLAGE,Data Submitted,55,57,8
618,SYMPHONY OF CHESTERTON,Data Submitted,15,18,5
619,SYMPHONY OF CROWN POINT,Data Submitted,7,16,< 5
620,SYMPHONY OF DYER,Data Submitted,72,27,12
621,TANGLEWOOD TRACE,Data Submitted,6,< 5,0
622,THE CEDARS,Data Submitted,28,30,10
623,THE ENCLAVE SENIOR LIVING AT SAXONY,Data Submitted,15,< 5,6
624,THE HARRISON AT EAGLE VALLEY,Data Submitted,25,17,5
625,THE HEARTH AT JUDAY CREEK,Data Submitted,11,10,0
626,THE HEARTH AT PRESTWICK,Data Submitted,0,0,0
627,THE HEARTH AT STONES CROSSING,Data Submitted,24,5,6
628,THE HEARTH AT SYCAMORE VILLAGE,Data Submitted,< 5,0,0
629,THE HEARTH AT TUDOR GARDENS,Data Submitted,15,7,5
630,THE LANE HOUSE,Data Submitted,0,< 5,0
631,THE LAURELS OF DEKALB,Data Submitted,59,22,9
632,THE LODGE AT SUMMERS POINTE,Data Submitted,0,0,0
633,THE MANSION ON MAIN,Data Submitted,0,< 5,0
634,THE MILTON HOME,Data Submitted,< 5,< 5,< 5
635,THE RESTORACY OF WHITESTOWN,Data Submitted,< 5,< 5,0
636,THE SPRINGS OF LAFAYETTE,Data Submitted,0,< 5,0
637,THE SPRINGS OF MOORESVILLE,Data Submitted,8,7,< 5
638,THE SPRINGS OF RICHMOND,Data Submitted,14,16,< 5
639,THE TOWNE HOUSE RETIREMENT CENTER,Data Submitted,9,11,< 5
640,THE VILLAGE AT HAMILTON POINTE,Data Submitted,44,34,12
641,THE VILLAGES AT HISTORIC SILVERCREST,Data Submitted,26,14,< 5
642,THE WATERS OF BATESVILLE,Data Submitted,0,< 5,0
643,THE WATERS OF CLIFTY FALLS,Data Submitted,0,5,0
644,THE WATERS OF COVINGTON,Data Submitted,15,7,< 5
645,THE WATERS OF DILLSBORO - ROSS MANOR,Data Submitted,28,15,13
646,THE WATERS OF GREENCASTLE,Data Submitted,24,18,5
647,THE WATERS OF HUNTINGBURG,Data Submitted,0,< 5,0
648,THE WATERS OF INDIANAPOLIS,Data Submitted,61,17,14
649,THE WATERS OF LEBANON,Data Submitted,35,6,5
650,THE WATERS OF MARTINSVILLE,Data Submitted,32,14,9
651,THE WATERS OF MUNCIE,Data Submitted,37,16,< 5
652,THE WATERS OF NEW CASTLE,Data Submitted,0,< 5,0
653,THE WATERS OF PRINCETON,Data Submitted,0,8,0
654,THE WATERS OF RISING SUN,Data Submitted,24,23,8
655,THE WATERS OF SCOTTSBURG,Data Submitted,29,19,9
656,THE WELLINGTON AT SOUTHPORT,Data Submitted,0,< 5,0
657,THE WOODLANDS,Data Submitted,49,30,10
658,THORNTON TERRACE HEALTH CAMPUS,Data Submitted,< 5,< 5,0
659,TIMBER CREEK VILLAGE,Data Submitted,0,0,0
660,TIMBERCREST SENIOR LIVING COMMUNITY,Data Submitted,6,13,< 5
661,TIPTON PLACE,Data Submitted,0,< 5,0
662,TOWNE CENTRE ASSISTED LIVING,Data Submitted,< 5,< 5,< 5
663,TOWNE PARK ASSISTED LIVING,Data Submitted,0,< 5,0
664,TRADITIONS AT REAGAN PARK,Data Submitted,25,11,7
665,TRADITIONS AT SOLANA,Data Submitted,< 5,< 5,0
666,TRAIL CREEK PLACE - ASSISTED LIVING,Data Submitted,10,< 5,5
667,TRANCENDENT HEALTHCARE NORTH,Data Submitted,0,< 5,0
668,TRANQUILITY NURSING AND REHAB,Data Submitted,0,0,0
669,TRANSCENDENT HEALTHCARE OF BOONVILLE,Data Submitted,41,14,< 5
670,TRANSCENDENT HEALTHCARE OF OWENSVILLE,Data Submitted,0,< 5,0
671,TWIN CITY HEALTH CARE,Data Submitted,0,< 5,0
672,UNIVERSITY HEIGHTS HEALTH AND LIVING COMMUNITY,Data Submitted,6,11,< 5
673,UNIVERSITY NURSING AND REHABILITATION CENTER,Data Submitted,0,< 5,0
674,UNIVERSITY PLACE HEALTH CENTER AND ASSISTED LIVING,Data Submitted,8,8,< 5
675,VALLEY VIEW HEALTHCARE CENTER,Data Submitted,63,16,5
676,VANNONI LIVING CENTER,Data Submitted,0,0,0
677,VERMILLION CONVALESCENT CENTER,Data Submitted,0,< 5,0
678,VERMILLION PLACE,Data Submitted,0,0,0
679,VERNON HEALTH & REHABILITATION,Data Submitted,21,19,< 5
680,VILLAGES AT OAK RIDGE,Data Submitted,31,32,7
681,VILLAS OF GUERIN WOODS,Data Submitted,7,10,< 5
682,VILLAS OF HOLLY BROOK INDIANA,Data Submitted,< 5,< 5,0
683,VIRGINIA PLACE,Data Submitted,< 5,< 5,0
684,WABASH BICKFORD COTTAGE OPCO,Data Submitted,0,0,0
685,WALKER PLACE,Data Submitted,0,0,0
686,WALNUT CREEK ALZHEIMER'S,Data Submitted,< 5,< 5,0
687,WARSAW MEADOWS,Data Submitted,22,28,0
688,WASHINGTON NURSING CENTER,Data Submitted,0,< 5,0
689,WATERFORD AT EDISON LAKES,Data Submitted,< 5,< 5,0
690,WATERFORD CROSSING,Data Submitted,15,16,< 5
691,WATERFORD PLACE HEALTH CAMPUS,Data Submitted,0,5,0
692,WEDGEWOOD HEALTHCARE CENTER,Data Submitted,71,28,20
693,WELLBROOKE OF AVON,Data Submitted,10,< 5,< 5
694,WELLBROOKE OF CARMEL,Data Submitted,7,17,< 5
695,WELLBROOKE OF CRAWFORDSVILLE,Data Submitted,< 5,< 5,0
696,WELLBROOKE OF KOKOMO,Data Submitted,5,12,0
697,WELLBROOKE OF SOUTH BEND,Data Submitted,45,21,< 5
698,WELLBROOKE OF WABASH,Data Submitted,5,8,0
699,WELLBROOKE OF WESTFIELD,Data Submitted,< 5,17,< 5
700,WESLEY MANOR HEALTH CENTER,Data Submitted,8,27,< 5
701,WESLEYAN HEALTH CARE CENTER,Data Submitted,9,11,0
702,WEST RIVER HEALTH CAMPUS,Data Submitted,6,6,< 5
703,WESTMINSTER HEALTH CARE CENTER,Data Submitted,< 5,< 5,0
704,WESTMINSTER VILLAGE - MUNCIE,Data Submitted,6,14,0
705,WESTMINSTER VILLAGE - WEST LAFAYETTE,Data Submitted,0,16,0
706,WESTMINSTER VILLAGE HEALTH & REHAB,Data Submitted,40,17,11
707,WESTMINSTER VILLAGE NORTH,Data Submitted,21,29,14
708,WESTPARK A WATERS COMMUNITY,Data Submitted,84,< 5,17
709,WESTRIDGE HEALTH CARE CENTER,Data Submitted,0,< 5,0
710,WESTSIDE VILLAGE NURSING CENTER,Data Submitted,25,8,7
711,WHITE OAK HEALTH CAMPUS,Data Submitted,12,22,< 5
712,WHITE RIVER LODGE,Data Submitted,0,< 5,0
713,WHITEWATER COMMONS SENIOR LIVING,Data Submitted,0,< 5,0
714,WHITLOCK PLACE,Data Submitted,0,< 5,0
715,WICKSHIRE FORT HARRISON,Data Submitted,< 5,< 5,0
716,WICKSHIRE WEST LAFAYETTE,Data Submitted,< 5,0,0
717,WILDWOOD HEALTHCARE CENTER,Data Submitted,183,42,19
718,WILLOW CROSSING HEALTH & REHABILITATION CENTER,Data Submitted,26,14,0
719,WILLOW LAKE PLACE,Data Submitted,8,6,< 5
720,WILLOW MANOR,Data Submitted,0,5,0
721,WILLOWBEND LIVING CENTER,Data Submitted,< 5,< 5,0
722,WINDSOR RIDGE,Data Submitted,0,0,0
723,WINTERSONG VILLAGE,Data Submitted,0,0,0
724,WITHAM EXTENDED CARE,Data Submitted,0,0,0
725,WOOD RIDGE ASSISTED LIVING,Data Submitted,< 5,< 5,0
726,WOODBRIDGE HEALTH CAMPUS,Data Submitted,53,31,15
727,WOODLAND HILLS CARE CENTER,Data Submitted,< 5,< 5,0
728,WOODLAND MANOR,Data Submitted,26,12,< 5
729,WOODLAND TERRACE OF CARMEL,Data Submitted,12,5,< 5
730,WOODLAND TERRACE OF NEW PALESTINE,Data Submitted,< 5,0,< 5
731,WOODMONT HEALTH CAMPUS,Data Submitted,53,41,16
732,WOODVIEW A WATERS COMMUNITY,Data Submitted,34,8,8
733,WORTHINGTON PLACE,Data Submitted,0,0,0
734,WYNDMOOR ASSISTED LIVING,Data Submitted,20,< 5,< 5
735,WYNDMOOR OF CASTLETON,Data Submitted,< 5,< 5,0
736,WYNDMOOR OF EVANSVILLE,Data Submitted,< 5,< 5,0
737,WYNDMOOR OF MARION,Data Submitted,< 5,5,0
738,WYNDMOOR OF PORTAGE,Data Submitted,0,0,0
739,YORK PLACE,Data Submitted,0,< 5,0
740,YORKTOWN MANOR,Data Submitted,61,36,16
741,INDIANA MASONIC HOME HEALTH CENTER,Data Submitted,0,< 5,0
742,MILLER'S MERRY MANOR - PORTAGE,Data Submitted,37,21,13
743,ATRIA- NEWBURGH,Data Submitted,0,< 5,0
744,BELL TRACE SENIOR LIVING COMMUNITY,Data Submitted,< 5,0,0
745,CENTURY FIELDS RETIREMENT COMMUNITY,Data Submitted,5,< 5,< 5
746,HHC-ASC AMERICAN VILLAGE ASSISTED LIVING,Data Submitted,26,< 5,< 5
747,HHC-ASC BEECH GROVE MEADOWS ASSISTED LIVING,Data Submitted,< 5,0,< 5
748,HHC-ASC MEADOW LAKES ASSISTED LIVING,Data Submitted,8,0,< 5
749,HHC-ASC ZIONSVILLE MEADOWS ASSISTED LIVING,Data Submitted,0,0,0
750,HOLY CROSS HOUSE AT NOTRE DAME,Data Submitted,< 5,0,0
751,JEFFERSON MANOR,Data Submitted,0,< 5,0
752,MAGNOLIA SPRINGS BRIDGEWATER,Data Submitted,< 5,< 5,0
753,NORTHWOOD MANOR,Data Submitted,< 5,0,0
