_id,Facility,Facility Submission Status,Infected_Residents,Infected_Staff,Resident_Deaths,Staff_Deaths
322,HHC-ASC RIVERSIDE VILLAGE,Data submitted,17.0,< 5,< 5,
323,HHC-ASC RIVERVIEW VILLAGE,Data submitted - no cases to report,0.0,0.0,0.0,
324,HHC-ASC RIVERWALK VILLAGE,Data submitted,< 5,< 5,0.0,
325,HHC-ASC ROSEBUD VILLAGE,Data submitted,0.0,< 5,0.0,
326,HHC-ASC ROSEGATE COMMONS ASST LIVING,Data submitted,11.0,0.0,< 5,
327,HHC-ASC ROSEGATE VILLAGE,Data submitted - no cases to report,0.0,0.0,0.0,
328,HHC-ASC ROSEWALK AT LUTHERWOODS,Data submitted,< 5,< 5,0.0,
329,HHC-ASC ROSEWALK VILLAGE,Data submitted,< 5,< 5,0.0,
330,HHC-ASC ROSEWALK VILLAGE OF LAFAYETTE,Data submitted,55.0,15.0,5.0,
331,HHC-ASC SALEM CROSSING,Data submitted,0.0,5.0,0.0,
332,HHC-ASC SEYMOUR CROSSING,Data submitted,0.0,< 5,0.0,
333,HHC-ASC SPRING MILL MEADOWS,Data submitted,46.0,5.0,13.0,
334,HHC-ASC SPRINGHILL VILLAGE,Data submitted - no cases to report,0.0,0.0,0.0,
335,HHC-ASC SPRINGS VALLEY MEADOWS,Data submitted - no cases to report,0.0,0.0,0.0,
336,HHC-ASC STONEBROOKE REHAB CENTER,Data submitted,54.0,19.0,13.0,
337,HHC-ASC SUMMIT CITY NURSING AND REHABILITATION,Data submitted,< 5,7.0,0.0,
338,HHC-ASC SWISS VILLA NURSING AND REHABILITATION,Data submitted,0.0,< 5,0.0,
339,HHC-ASC TIMBERS OF JASPER,Data submitted - no cases to report,0.0,0.0,0.0,
340,HHC-ASC TODD-DICKEY NURSING AND REHABILITATION,Data submitted,0.0,< 5,0.0,
341,HHC-ASC TRAILPOINT VILLAGE,Data submitted,< 5,< 5,0.0,
342,HHC-ASC UNIVERSITY NURSING CENTER,Data submitted,0.0,< 5,0.0,
343,HHC-ASC VALPARAISO CARE & REHABILITATION,Data submitted,0.0,< 5,0.0,
344,HHC-ASC WASHINGTON HEALTHCARE CENTER,Data submitted,31.0,10.0,9.0,
345,HHC-ASC WATERS EDGE VILLAGE,Data submitted,10.0,8.0,< 5,
346,HHC-ASC WEST BEND NURSING AND REHABILITATION,Data submitted,37.0,< 5,5.0,
347,HHC-ASC WESTVIEW NURSING AND REHABILITATION CENTER,Data submitted,28.0,12.0,8.0,
348,HHC-ASC WILLIAMSPORT NURSING AND REHABILITATION,Data submitted,0.0,< 5,0.0,
349,HHC-ASC WILLOWDALE VILLAGE,Data submitted - no cases to report,0.0,0.0,0.0,
350,HHC-ASC ZIONSVILLE MEADOWS,Data submitted,23.0,< 5,< 5,
351,HHC-ASC ZIONSVILLE MEADOWS ASSISTED LIVING,Data submitted - no cases to report,0.0,0.0,0.0,
352,HI JILL'S HOUSE,Data submitted,0.0,< 5,0.0,
353,HICKORY CREEK AT COLUMBUS,Data submitted,0.0,< 5,0.0,
354,HICKORY CREEK AT CONNERSVILLE,Data submitted - no cases to report,0.0,0.0,0.0,
355,HICKORY CREEK AT CRAWFORDSVILLE,Data submitted - no cases to report,0.0,0.0,0.0,
356,HICKORY CREEK AT FRANKLIN,Data submitted - no cases to report,0.0,0.0,0.0,
357,HICKORY CREEK AT GREENSBURG,Data submitted,0.0,< 5,0.0,
358,HICKORY CREEK AT HUNTINGTON,Data submitted,0.0,< 5,0.0,
359,HICKORY CREEK AT KENDALLVILLE,Data submitted - no cases to report,0.0,0.0,0.0,
360,HICKORY CREEK AT MADISON,Data submitted - no cases to report,0.0,0.0,0.0,
361,HICKORY CREEK AT NEW CASTLE,Data submitted,< 5,0.0,< 5,
362,HICKORY CREEK AT PERU,Data submitted - no cases to report,0.0,0.0,0.0,
363,HICKORY CREEK AT ROCHESTER,Data submitted - no cases to report,0.0,0.0,0.0,
364,HICKORY CREEK AT SCOTTSBURG,Data submitted - no cases to report,0.0,0.0,0.0,
365,HICKORY CREEK AT SUNSET,Data submitted - no cases to report,0.0,0.0,0.0,
366,HICKORY CREEK AT WINAMAC,Data submitted - no cases to report,0.0,0.0,0.0,
367,HILDEGARD HEALTH CENTER,Data submitted - no cases to report,0.0,0.0,0.0,
368,HILLSIDE MANOR NURSING HOME,Data submitted - no cases to report,0.0,0.0,0.0,
369,HOLY CROSS VILLAGE AT NOTRE DAME,Facility has not submitted Data,"","","",
370,HOMESTEAD HEALTHCARE CENTER,Data submitted,< 5,5.0,0.0,
371,HOMEVIEW CENTER OF FRANKLIN,Data submitted - no cases to report,0.0,0.0,0.0,
372,HOMEWOOD HEALTH CAMPUS,Data submitted,46.0,16.0,24.0,
373,HOOSIER CHRISTIAN VILLAGE,Data submitted - no cases to report,0.0,0.0,0.0,
374,HOOSIER VILLAGE,Data submitted,14.0,16.0,< 5,
375,HOOVERWOOD,Facility has not submitted Data,"","","",
376,HUBBARD HILL ESTATES,Data submitted,14.0,14.0,< 5,
377,INDIAN CREEK HEALTHCARE CENTER,Data submitted,0.0,< 5,0.0,
378,INDIANA MASONIC HOME HEALTH CENTER,Facility has not submitted Data,"","","",
379,INDIANA VETERANS HOME,Data submitted,0.0,< 5,0.0,
380,JEFFERSON MANOR,Data submitted,0.0,< 5,0.0,
381,JEWEL PLACE,Facility has not submitted Data,"","","",
382,JOURNEY SENIOR LIVING OF MERRILLVILLE,Facility has not submitted Data,"","","",
383,JOURNEY SENIOR LIVING OF VALPARAISO,Facility has not submitted Data,"","","",
384,KEEPSAKE VILLAGE OF COLUMBUS,Data submitted,0.0,< 5,0.0,
385,KENDALLVILLE MANOR,Data submitted,0.0,< 5,0.0,
386,KESSLERWOOD PLACE,Data submitted,32.0,10.0,14.0,
387,KEYSTONE WOODS,Data submitted - no cases to report,0.0,0.0,0.0,
388,KINGSTON AT DUPONT,Data submitted,0.0,< 5,0.0,
389,KINGSTON CARE CENTER OF FORT WAYNE,Data submitted,56.0,39.0,11.0,
390,KINGSTON RESIDENCE OF FORT WAYNE,Data submitted - no cases to report,0.0,0.0,0.0,
391,KOKOMO HEALTHCARE CENTER,Data submitted,49.0,6.0,< 5,
392,KOKOMO PLACE,Data submitted,0.0,< 5,0.0,
393,LAFAYETTE BICKFORD COTTAGE,Facility has not submitted Data,"","","",
394,LAKE CITY PLACE,Data submitted - no cases to report,0.0,0.0,0.0,
395,LAKE COUNTY NURSING AND REHABILITATION CENTER,Data submitted,22.0,8.0,< 5,
396,LAKEVIEW MANOR,Data submitted - no cases to report,0.0,0.0,0.0,
397,LAMPLIGHT INN OF FORT WAYNE,Facility has not submitted Data,"","","",
398,LEGACY LIVING OF JASPER,Data submitted - no cases to report,0.0,0.0,0.0,
399,LIBERTY VILLAGE,Data submitted,33.0,12.0,12.0,
400,LIFE CARE CENTER OF FORT WAYNE,Data submitted,0.0,19.0,0.0,
401,LIFE CARE CENTER OF LAGRANGE,Data submitted,0.0,< 5,0.0,
402,LIFE CARE CENTER OF MICHIGAN CITY,Data submitted,0.0,< 5,0.0,
403,LIFE CARE CENTER OF ROCHESTER,Data submitted,0.0,< 5,0.0,
404,LIFE CARE CENTER OF THE WILLOWS,Data submitted,52.0,17.0,12.0,
405,LIFE CARE CENTER OF VALPARAISO,Data submitted,0.0,< 5,0.0,
406,LINCOLN HILLS OF NEW ALBANY,Data submitted,0.0,< 5,0.0,
407,LINCOLNSHIRE HEALTH & REHABILITATION CENTER,Data submitted,12.0,9.0,< 5,
408,LINCOLNSHIRE PLACE - FORT WAYNE,Data submitted,0.0,< 5,0.0,
409,LINDBERG CROSSING SENIOR LIVING,Data submitted,< 5,0.0,< 5,
410,LODGE OF THE WABASH,Data submitted,0.0,< 5,0.0,
411,LOOGOOTEE HEALTHCARE & REHABILITATION CENTER,Data submitted,< 5,0.0,0.0,
412,LUTHERAN COMMUNITY HOME,Data submitted,< 5,0.0,0.0,
413,LUTHERAN LIFE VILLAGES,Data submitted,41.0,23.0,17.0,
414,LUTHERAN LIFE VILLAGES AT KENDALLVILLE,Data submitted,69.0,27.0,13.0,
415,LUTHERAN LIFE VILLAGES AT PINE VALLEY,Data submitted,0.0,< 5,0.0,
416,LYND PLACE,Data submitted - no cases to report,0.0,0.0,0.0,
417,LYNHURST HEALTHCARE,Facility has not submitted Data,"","","",
418,MAGNOLIA SPRINGS BRIDGEWATER,Data submitted,< 5,< 5,0.0,
419,MAJESTIC CARE OF AVON,Data submitted,10.0,< 5,< 5,
420,MAJESTIC CARE OF CONNERSVILLE,Data submitted,21.0,10.0,< 5,
421,MAJESTIC CARE OF FORT WAYNE,Data submitted,< 5,0.0,0.0,
422,MAJESTIC CARE OF NEW HAVEN,Data submitted,0.0,< 5,0.0,
423,MAJESTIC CARE OF NORTH VERNON,Data submitted,24.0,7.0,8.0,
424,MAJESTIC CARE OF SHERIDAN,Data submitted,0.0,< 5,0.0,
425,MAJESTIC CARE OF WEST ALLEN,Data submitted,13.0,< 5,< 5,
426,MANDERLEY HEALTH CARE CENTER,Data submitted,0.0,< 5,0.0,
427,MANOR CARE HEALTH SERVICES SUMMER TRACE,Data submitted,0.0,< 5,0.0,
428,MAPLE MANOR CHRISTIAN HOME,Data submitted,0.0,< 5,0.0,
429,MARQUETTE,Data submitted,15.0,14.0,6.0,
430,MASON HEALTH CARE CENTER,Data submitted - no cases to report,0.0,0.0,0.0,
431,MCCORDSVILLE SENIOR LIVING,Data submitted,6.0,< 5,5.0,
432,MCGIVNEY HEALTH CARE CENTER,Facility has not submitted Data,"","","",
433,MCKINNEY PLACE,Data submitted,0.0,< 5,0.0,
434,MEADOW BROOK SENIOR LIVING,Facility has not submitted Data,"","","",
435,MEADOWOOD HEALTH PAVILION,Data submitted,< 5,5.0,0.0,
436,MEADOWS MANOR EAST,Data submitted,0.0,< 5,0.0,
437,MEADOWS MANOR NORTH,Data submitted - no cases to report,0.0,0.0,0.0,
438,MEMORIAL HOSPITAL - SKILLED CARING CENTER,Data submitted,< 5,< 5,0.0,
439,MERIDIAN NURSING AND REHABILITATION CENTER,Data submitted - no cases to report,0.0,0.0,0.0,
440,MIDDLETOWN NURSING AND REHABILITATION CENTER,Facility has not submitted Data,"","","",
441,MILL POND HEALTH CAMPUS,Data submitted,< 5,0.0,0.0,
442,MILLER BEACH TERRACE,Facility has not submitted Data,"","","",
443,MILLER'S AT OAK POINTE,Data submitted,0.0,< 5,0.0,
444,MILLER'S HEALTH & REHAB,Data submitted,0.0,< 5,0.0,
445,MILLER'S MERRY MANOR - CHESTERFIELD,Data submitted - no cases to report,0.0,0.0,0.0,
446,MILLER'S MERRY MANOR - COLUMBIA CITY,Data submitted,0.0,< 5,0.0,
447,MILLER'S MERRY MANOR - CULVER,Data submitted - no cases to report,0.0,0.0,0.0,
448,MILLER'S MERRY MANOR - DUNKIRK,Facility has not submitted Data,"","","",
449,MILLER'S MERRY MANOR - FORT WAYNE,Data submitted,< 5,< 5,0.0,
450,MILLER'S MERRY MANOR - GARRETT,Data submitted - no cases to report,0.0,0.0,0.0,
451,MILLER'S MERRY MANOR - HARTFORD CITY,Data submitted - no cases to report,0.0,0.0,0.0,
452,MILLER'S MERRY MANOR - HOBART,Data submitted,32.0,9.0,7.0,
453,MILLER'S MERRY MANOR - HOPE,Data submitted,18.0,5.0,< 5,
454,MILLER'S MERRY MANOR - HUNTINGTON,Data submitted,0.0,< 5,0.0,
455,MILLER'S MERRY MANOR - INDY EAST,Data submitted,52.0,17.0,6.0,
456,MILLER'S MERRY MANOR - LAGRANGE,Data submitted - no cases to report,0.0,0.0,0.0,
457,MILLER'S MERRY MANOR - LOGANSPORT,Data submitted,0.0,< 5,0.0,
458,MILLER'S MERRY MANOR - MARION,Facility has not submitted Data,"","","",
459,MILLER'S MERRY MANOR - MIDDLETOWN,Data submitted - no cases to report,0.0,0.0,0.0,
460,MILLER'S MERRY MANOR - MOORESVILLE,Data submitted,< 5,0.0,0.0,
461,MILLER'S MERRY MANOR - NEW CARLISLE,Data submitted - no cases to report,0.0,0.0,0.0,
462,MILLER'S MERRY MANOR - PERU,Data submitted - no cases to report,0.0,0.0,0.0,
463,MILLER'S MERRY MANOR - PLYMOUTH,Data submitted,50.0,29.0,9.0,
464,MILLER'S MERRY MANOR - PORTAGE,Data submitted,35.0,12.0,13.0,
465,MILLER'S MERRY MANOR - ROCKPORT,Data submitted,0.0,< 5,0.0,
466,MILLER'S MERRY MANOR - RUSHVILLE,Data submitted - no cases to report,0.0,0.0,0.0,
467,MILLER'S MERRY MANOR - SULLIVAN,Data submitted,0.0,< 5,0.0,
468,MILLER'S MERRY MANOR - SYRACUSE,Data submitted,< 5,0.0,0.0,
469,MILLER'S MERRY MANOR - TIPTON,Data submitted,< 5,< 5,0.0,
470,MILLER'S MERRY MANOR - WABASH EAST,Data submitted - no cases to report,0.0,0.0,0.0,
471,MILLER'S MERRY MANOR - WABASH WEST,Data submitted - no cases to report,0.0,0.0,0.0,
472,MILLER'S MERRY MANOR - WAKARUSA,Data submitted,14.0,< 5,< 5,
473,MILLER'S MERRY MANOR - WALKERTON,Facility has not submitted Data,"","","",
474,MILLER'S MERRY MANOR - WARSAW,Data submitted,0.0,< 5,0.0,
475,MILLER'S SENIOR LIVING COMMUNITY,Data submitted,38.0,9.0,10.0,
476,MILNER COMMUNITY HEALTH CARE,Data submitted,0.0,< 5,0.0,
477,MITCHELL MANOR,Data submitted,46.0,7.0,14.0,
478,MONROE PLACE,Data submitted,< 5,0.0,< 5,
479,MORGANTOWN HEALTH CARE,Data submitted - no cases to report,0.0,0.0,0.0,
480,MORNING BREEZE RETIREMENT COMMUNITY AND HEALTHCARE,Data submitted,34.0,18.0,9.0,
481,MORNING POINTE OF FRANKLIN,Data submitted,< 5,< 5,< 5,
482,MORNING VIEW NURSING AND REHABILITATION CENTER,Data submitted - no cases to report,0.0,0.0,0.0,
483,MORRISON WOODS HEALTH CAMPUS,Data submitted,< 5,0.0,0.0,
484,MORRISTOWN MANOR,Data submitted,60.0,16.0,11.0,
485,MULBERRY HEALTH & REHABILITATION CENTER,Data submitted,0.0,7.0,0.0,
486,MUNSTER MED-INN,Data submitted,49.0,21.0,16.0,
487,NEW ALBANY NURSING AND REHABILITATION CENTER,Data submitted,22.0,5.0,< 5,
488,NEWBURGH HEALTH CARE,Data submitted,0.0,< 5,0.0,
489,NORTH RIDGE VILLAGE NURSING & REHABILITATION CENTER,Data submitted,< 5,< 5,0.0,
490,NORTH RIVER HEALTH CAMPUS,Data submitted,< 5,0.0,0.0,
491,NORTH WOODS VILLAGE AT EDISON LAKES,Data submitted - no cases to report,0.0,0.0,0.0,
492,NORTH WOODS VILLAGE AT INVERNESS LAKE,Data submitted,< 5,< 5,0.0,
493,NORTHERN LAKES NURSING AND REHABILITATION CENTER,Data submitted - no cases to report,0.0,0.0,0.0,
494,NORTHVIEW HEALTH AND LIVING,Facility has not submitted Data,"","","",
495,NORTHWEST MANOR HEALTH CARE CENTER,Data submitted,73.0,41.0,21.0,
496,NORTHWOOD MANOR,Data submitted,< 5,0.0,0.0,
497,OAK GROVE CHRISTIAN RETIREMENT VILLAGE,Data submitted,0.0,< 5,0.0,
498,OAK VILLAGE,Data submitted,0.0,< 5,0.0,
499,OAKBROOK VILLAGE,Data submitted - no cases to report,0.0,0.0,0.0,
500,OAKWOOD HEALTH CAMPUS,Data submitted,34.0,26.0,9.0,
501,OASIS AT 30TH,Facility has not submitted Data,"","","",
502,OASIS AT 56TH,Data submitted - no cases to report,0.0,0.0,0.0,
503,OASIS DEMENTIA CARE,Data submitted - no cases to report,0.0,0.0,0.0,
504,ORCHARD POINTE HEALTH CAMPUS,Data submitted,0.0,< 5,0.0,
505,OSSIAN ASSISTED LIVING COMMUNITY,Data submitted - no cases to report,0.0,0.0,0.0,
506,OSSIAN HEALTH CARE AND REHABILITATION CENTER,Data submitted,0.0,< 5,0.0,
507,OTTERBEIN FRANKLIN SENIORLIFE COMM & COM CARE,Data submitted,59.0,37.0,16.0,
508,OWEN VALLEY HEALTH CAMPUS,Data submitted - no cases to report,0.0,0.0,0.0,
509,PADDOCK SPRINGS,Data submitted,< 5,< 5,< 5,
510,PAOLI HEALTH AND LIVING COMMUNITY,Data submitted,75.0,25.0,17.0,
511,PARK PLACE HEALTH AND WELLNESS CENTER,Data submitted,< 5,0.0,0.0,
512,PARK PLACE SENIOR LIVING,Data submitted,< 5,8.0,< 5,
513,PARK SQUARE MANOR,Data submitted - no cases to report,0.0,0.0,0.0,
514,PARKER HEALTH CARE & REHABILITATION CENTER,Data submitted - no cases to report,0.0,0.0,0.0,
515,PARKVIEW CARE CENTER,Data submitted - no cases to report,0.0,0.0,0.0,
516,PARKVIEW HAVEN,Data submitted - no cases to report,0.0,0.0,0.0,
517,PEABODY RETIREMENT COMMUNITY,Facility has not submitted Data,"","","",
518,PERSIMMON RIDGE REHABILITATION CENTRE,Data submitted,0.0,< 5,0.0,
519,PILGRIM MANOR,Data submitted - no cases to report,0.0,0.0,0.0,
520,PINE HAVEN HEALTH AND REHABILITATION CENTER,Facility has not submitted Data,"","","",
521,PINE KNOLL ASSISTED LIVING CENTER,Data submitted - no cases to report,0.0,0.0,0.0,
522,PINEKNOLL REHABILITATION CENTRE,Data submitted - no cases to report,0.0,0.0,0.0,
523,PLAINFIELD HEALTH CARE CENTER,Data submitted,0.0,< 5,0.0,
524,PLEASANT VIEW LODGE,Data submitted,0.0,< 5,0.0,
525,PORTAGE MANOR HEALTH CARE FACILITY,Data submitted - no cases to report,0.0,0.0,0.0,
526,PRAIRIE LAKES HEALTH CAMPUS,Data submitted,0.0,< 5,0.0,
527,PREMIER HEALTHCARE OF NEW HARMONY,Data submitted - no cases to report,0.0,0.0,0.0,
528,PRESENCE SACRED HEART HOME,Facility has not submitted Data,"","","",
529,PRIMROSE MEMORY CARE OF ANDERSON,Facility has not submitted Data,"","","",
530,PRIMROSE OF MISHAWAKA,Data submitted - no cases to report,0.0,0.0,0.0,
531,PRIMROSE OF NEWBURGH,Data submitted - no cases to report,0.0,0.0,0.0,
532,PRIMROSE RETIREMENT COMMUNITY OF ANDERSON,Data submitted - no cases to report,0.0,0.0,0.0,
533,PRIMROSE RETIREMENT COMMUNITY OF KOKOMO,Data submitted,< 5,< 5,< 5,
534,PROVIDENCE ANDERSON,Data submitted,8.0,< 5,5.0,
535,PROVIDENCE HEALTH CARE CENTER,Data submitted - no cases to report,0.0,0.0,0.0,
536,PULASKI HEALTH CARE CENTER,Data submitted,0.0,< 5,0.0,
537,RANDOLPH NURSING HOME,Data submitted - no cases to report,0.0,0.0,0.0,
538,RAWLINS HOUSE HEALTH & LIVING COMMUNITY,Data submitted,9.0,< 5,< 5,
539,REHABILITATION CENTER AT HARTSFIELD VILLAGE,Data submitted,< 5,< 5,< 5,
540,RENSSELAER CARE CENTER,Data submitted - no cases to report,0.0,0.0,0.0,
541,RESIDENCES AT COFFEE CREEK,Data submitted - no cases to report,0.0,0.0,0.0,
542,RESIDENCES AT DEER CREEK,Data submitted,< 5,< 5,0.0,
543,RETREAT AT THE STRATFORD,Data submitted,16.0,15.0,6.0,
544,RICHLAND BEAN BLOSSOM HEALTH CARE CENTER,Data submitted,< 5,0.0,< 5,
545,RIDGEWOOD HEALTH CAMPUS,Data submitted,0.0,< 5,0.0,
546,RIPLEY CROSSING,Facility has not submitted Data,"","","",
547,RITTENHOUSE VILLAGE AT MICHIGAN CITY,Data submitted,26.0,10.0,8.0,
548,RITTENHOUSE VILLAGE AT NORTHSIDE,Facility has not submitted Data,"","","",
549,RITTENHOUSE VILLAGE AT PORTAGE,Data submitted - no cases to report,0.0,0.0,0.0,
550,RITTENHOUSE VILLAGE AT VALPARAISO,Data submitted - no cases to report,0.0,0.0,0.0,
551,RIVER CROSSING ASSISTED LIVING,Data submitted,0.0,< 5,0.0,
552,RIVER POINTE HEALTH CAMPUS,Data submitted,< 5,< 5,0.0,
553,RIVER TERRACE HEALTH CAMPUS,Data submitted,< 5,< 5,0.0,
554,RIVER TERRACE HEALTH CARE CENTER,Data submitted,0.0,< 5,0.0,
555,RIVERBEND,Data submitted - no cases to report,0.0,0.0,0.0,
556,RIVEROAKS HEALTH CAMPUS,Data submitted,< 5,< 5,0.0,
557,RIVERWALK COMMUNITIES,Data submitted,< 5,< 5,0.0,
558,ROBIN RUN,Data submitted,< 5,< 5,< 5,
559,ROBIN RUN HEALTH CENTER,Data submitted,33.0,12.0,6.0,
560,ROLLING HILLS HEALTHCARE CENTER,Data submitted,0.0,< 5,0.0,
561,ROLLING MEADOWS HEALTH CARE CENTER,Data submitted - no cases to report,0.0,0.0,0.0,
562,ROSE SENIOR LIVING CARMEL,Data submitted,11.0,13.0,0.0,
563,ROSEWOOD MANOR,Facility has not submitted Data,"","","",
564,RURAL HEALTH CARE CENTER,Data submitted,< 5,< 5,0.0,
565,SAGE BLUFF HEALTH & REHAB CENTER,Facility has not submitted Data,"","","",
566,SAINT ANNE COMMUNITIES - RANDALLIA PLACE,Data submitted,0.0,< 5,0.0,
567,SAINT ANNE COMMUNITIES - VICTORY NOLL,Data submitted - no cases to report,0.0,0.0,0.0,
568,SAINT ANTHONY - CROWN POINT,Data submitted,81.0,22.0,21.0,
569,SAINT ANTHONY REHAB AND NURSING CENTER,Data submitted,0.0,< 5,0.0,
570,SANCTUARY AT HOLY CROSS,Data submitted,< 5,< 5,0.0,
571,SANCTUARY AT ST PAUL'S,Data submitted,0.0,< 5,0.0,
572,SANDERS GLEN,Facility has not submitted Data,"","","",
573,SCENIC HILLS AT THE MONASTERY,Data submitted,0.0,< 5,0.0,
574,SEBO'S NURSING AND REHABILITATION CENTER,Data submitted,61.0,21.0,15.0,
575,SELLERSBURG HEALTHCARE CENTER,Data submitted,17.0,15.0,< 5,
576,SENIOR LIVING AT FOREST RIDGE,Data submitted - no cases to report,0.0,0.0,0.0,
577,SENIOR SUITES AT THE LELAND,Data submitted - no cases to report,0.0,0.0,0.0,
578,SETTLERS PLACE,Facility has not submitted Data,"","","",
579,SEYMOUR PLACE,Data submitted,0.0,< 5,0.0,
580,SHADY NOOK CARE CENTER,Data submitted,58.0,19.0,19.0,
581,SHEFFIELD MANOR,Data submitted,9.0,6.0,< 5,
582,SIGNATURE HEALTHCARE AT PARKWOOD,Data submitted,30.0,20.0,< 5,
583,SIGNATURE HEALTHCARE OF BLUFFTON,Data submitted,0.0,< 5,0.0,
584,SIGNATURE HEALTHCARE OF BREMEN,Data submitted,0.0,5.0,0.0,
585,SIGNATURE HEALTHCARE OF FORT WAYNE,Data submitted,0.0,< 5,0.0,
586,SIGNATURE HEALTHCARE OF LAFAYETTE,Data submitted - no cases to report,0.0,0.0,0.0,
587,SIGNATURE HEALTHCARE OF MUNCIE,Data submitted,52.0,19.0,10.0,
588,SIGNATURE HEALTHCARE OF NEWBURGH,Data submitted,42.0,12.0,13.0,
589,SIGNATURE HEALTHCARE OF SOUTH BEND,Data submitted - no cases to report,0.0,0.0,0.0,
590,SIGNATURE HEALTHCARE OF TERRE HAUTE,Data submitted,0.0,< 5,0.0,
591,SILVER BIRCH OF COOK ROAD,Data submitted - no cases to report,0.0,0.0,0.0,
592,SILVER BIRCH OF EVANSVILLE,Data submitted,0.0,< 5,0.0,
593,SILVER BIRCH OF FORT WAYNE,Data submitted,0.0,< 5,0.0,
594,SILVER BIRCH OF HAMMOND,Facility has not submitted Data,"","","",
595,SILVER BIRCH OF KOKOMO,Data submitted,0.0,< 5,0.0,
596,SILVER BIRCH OF MICHIGAN CITY,Data submitted,0.0,< 5,0.0,
597,SILVER BIRCH OF MISHAWAKA,Data submitted - no cases to report,0.0,0.0,0.0,
598,SILVER BIRCH OF MUNCIE,Data submitted,< 5,< 5,< 5,
599,SILVER BIRCH OF TERRE HAUTE,Data submitted,< 5,0.0,0.0,
600,SILVER MEMORIES HEALTH CARE,Data submitted - no cases to report,0.0,0.0,0.0,
601,SILVER OAKS HEALTH CAMPUS,Data submitted,5.0,< 5,< 5,
602,SIMMONS LOVING CARE HEALTH FACILITY,Facility has not submitted Data,"","","",
603,SMITH FARMS MANOR,Data submitted - no cases to report,0.0,0.0,0.0,
604,SOLARBON TERRACE,Data submitted,0.0,< 5,0.0,
605,SOUTH SHORE HEALTH & REHABILITATION CENTER,Data submitted,35.0,16.0,10.0,
606,SOUTHERN INDIANA REHABILITATION HOSPITAL,Facility has not submitted Data,"","","",
607,SOUTHFIELD VILLAGE,Data submitted,0.0,< 5,0.0,
608,SOUTHPOINTE HEALTHCARE CENTER,Data submitted,22.0,10.0,6.0,
609,SOUTHWOOD HEALTHCARE CENTER,Data submitted - no cases to report,0.0,0.0,0.0,
610,SPRENGER HEALTH CARE OF MISHAWAKA,Data submitted - no cases to report,0.0,0.0,0.0,
611,SPRING MILL HEALTH CAMPUS,Data submitted,< 5,< 5,< 5,
612,SPRINGHURST HEALTH CAMPUS,Data submitted,< 5,0.0,< 5,
613,ST ANDREWS HEALTH CAMPUS,Data submitted,< 5,< 5,0.0,
614,ST AUGUSTINE HOME FOR THE AGED,Data submitted,16.0,7.0,6.0,
615,ST CHARLES HEALTH CAMPUS,Data submitted,0.0,< 5,0.0,
616,ST ELIZABETH HEALTHCARE CENTER,Data submitted,< 5,0.0,0.0,
617,ST MARY HEALTHCARE CENTER,Data submitted,0.0,< 5,0.0,
618,ST PAUL HERMITAGE,Data submitted,0.0,8.0,0.0,
619,STONEBRIDGE HEALTH CAMPUS,Data submitted,< 5,< 5,< 5,
620,STONECROFT HEALTH CAMPUS,Data submitted,< 5,< 5,0.0,
621,SUGAR CREEK REHABILITATION AND CONVALESCENT CENTER,Data submitted,0.0,< 5,0.0,
622,SUGAR FORK CROSSING,Facility has not submitted Data,"","","",
623,SUGAR GROVE SENIOR LIVING,Data submitted,< 5,0.0,0.0,
624,SUMMERFIELD HEALTH CARE CENTER,Data submitted - no cases to report,0.0,0.0,0.0,
625,SUMMIT HEALTH AND LIVING,Facility has not submitted Data,"","","",
626,SUMMIT PLACE WEST,Data submitted - no cases to report,0.0,0.0,0.0,
627,SUNRISE ON OLD MERIDIAN,Data submitted,0.0,< 5,0.0,
628,SWISS VILLAGE,Data submitted,0.0,< 5,0.0,
629,SYCAMORE MANOR,Data submitted - no cases to report,0.0,0.0,0.0,
630,SYMPHONY OF CHESTERTON,Data submitted,< 5,< 5,< 5,
631,SYMPHONY OF CROWN POINT,Data submitted,0.0,11.0,0.0,
632,SYMPHONY OF DYER,Data submitted,76.0,27.0,12.0,
633,TANGLEWOOD TRACE,Facility has not submitted Data,"","","",
634,THE CEDARS,Data submitted,0.0,< 5,0.0,
635,THE ENCLAVE SENIOR LIVING AT SAXONY,Facility has not submitted Data,"","","",
636,THE HARRISON AT EAGLE VALLEY,Data submitted,32.0,18.0,< 5,
637,THE HEARTH AT JUDAY CREEK,Facility has not submitted Data,"","","",
638,THE HEARTH AT PRESTWICK,Data submitted,0.0,< 5,0.0,
639,THE HEARTH AT STONES CROSSING,Facility has not submitted Data,"","","",
640,THE HEARTH AT SYCAMORE VILLAGE,Facility has not submitted Data,"","","",
641,THE HEARTH AT TUDOR GARDENS,Facility has not submitted Data,"","","",
642,THE LANE HOUSE,Data submitted - no cases to report,0.0,0.0,0.0,
643,THE LAURELS OF DEKALB,Data submitted - no cases to report,0.0,0.0,0.0,
644,THE LODGE AT SUMMERS POINTE,Data submitted - no cases to report,0.0,0.0,0.0,
645,THE MANSION ON MAIN,Data submitted - no cases to report,0.0,0.0,0.0,
646,THE MILTON HOME,Data submitted,< 5,0.0,< 5,
647,THE RESIDENCE AT WATERFORD CROSSING,Data submitted,0.0,< 5,0.0,
648,THE RESTORACY OF WHITESTOWN,Data submitted,< 5,< 5,0.0,
