_id,Facility,Facility_Submission_Status,Infected_Residents,Infected_Staff,Resident_Deaths,Staff_deaths
322,UNIVERSITY PLACE HEALTH CENTER AND ASSISTED LIVING,Data submitted - no case to report,0.0,0.0,0.0,
323,RITTENHOUSE VILLAGE AT PORTAGE,Data submitted - no case to report,0.0,0.0,0.0,
324,SUNRISE ON OLD MERIDIAN,Data Submitted,0.0,< 5,0.0,
325,CRAWFORDSVILLE BICKFORD COTTAGE,Data submitted - no case to report,0.0,0.0,0.0,
326,MILLER'S MERRY MANOR - RUSHVILLE,Data submitted - no case to report,0.0,0.0,0.0,
327,WYNDMOOR OF PORTAGE,Data submitted - no case to report,0.0,0.0,0.0,
328,CROWNPOINTE OF HARTFORD CITY,Data submitted - no case to report,0.0,0.0,0.0,
329,HICKORY CREEK AT HUNTINGTON,Data Submitted,0.0,< 5,0.0,
330,ST PAUL HERMITAGE,Data Submitted,0.0,8.0,0.0,
331,SOUTHWOOD HEALTHCARE CENTER,Data submitted - no case to report,0.0,0.0,0.0,
332,OAKBROOK VILLAGE,Data submitted - no case to report,0.0,0.0,0.0,
333,THE TOWNE HOUSE RETIREMENT CENTER,Data submitted - no case to report,0.0,0.0,0.0,
334,"CDC RESOURCES, INC. - LEISURE ACRES",Data submitted - no case to report,0.0,0.0,0.0,
335,HERITAGE POINT ALZHEIMER'S SPECIAL CARE CENTER,Data submitted - no case to report,0.0,0.0,0.0,
336,CUMBERLAND POINTE HEALTH CAMPUS,Data submitted - no case to report,0.0,0.0,0.0,
337,SENIOR SUITES AT THE LELAND,Data submitted - no case to report,0.0,0.0,0.0,
338,MEADOWS MANOR NORTH,Data submitted - no case to report,0.0,0.0,0.0,
339,ADAMS HERITAGE,Data submitted - no case to report,0.0,0.0,0.0,
340,LAKE CITY PLACE,Data submitted - no case to report,0.0,0.0,0.0,
341,MASON HEALTH CARE CENTER,Data submitted - no case to report,0.0,0.0,0.0,
342,HHC-ASC SEYMOUR CROSSING,Data Submitted,0.0,< 5,0.0,
343,HICKORY CREEK AT SUNSET,Data submitted - no case to report,0.0,0.0,0.0,
344,NORTHVIEW HEALTH AND LIVING,Data submitted - no case to report,0.0,0.0,0.0,
345,PRIMROSE OF NEWBURGH,Data submitted - no case to report,0.0,0.0,0.0,
346,SILVER MEMORIES HEALTH CARE,Data submitted - no case to report,0.0,0.0,0.0,
347,HOOSIER CHRISTIAN VILLAGE,Data submitted - no case to report,0.0,0.0,0.0,
348,CORE OF DALE,Data submitted - no case to report,0.0,0.0,0.0,
349,SOLARBON TERRACE,Data Submitted,0.0,< 5,0.0,
350,APERION ESTATES PERU,Data submitted - no case to report,0.0,0.0,0.0,
351,ASPEN TRACE HEALTH & LIVING COMMUNITY,Data Submitted,0.0,< 5,0.0,
352,WASHINGTON NURSING CENTER,Data submitted - no case to report,0.0,0.0,0.0,
353,INDIAN CREEK HEALTHCARE CENTER,Data Submitted,0.0,< 5,0.0,
354,ST MARY HEALTHCARE CENTER,Data Submitted,0.0,< 5,0.0,
355,HHC-ASC ASTER PLACE ASSISTED LIVING,Data submitted - no case to report,0.0,0.0,0.0,
356,HHC-ASC RIVERVIEW VILLAGE,Data submitted - no case to report,0.0,0.0,0.0,
357,SUGAR CREEK REHABILITATION AND CONVALESCENT CENTER,Data Submitted,0.0,< 5,0.0,
358,MILLER'S MERRY MANOR - LAGRANGE,Data submitted - no case to report,0.0,0.0,0.0,
359,LIFE CARE CENTER OF LAGRANGE,Data Submitted,0.0,< 5,0.0,
360,LIFE CARE CENTER OF FORT WAYNE,Data Submitted,0.0,19.0,0.0,
361,GREENWOOD VILLAGE SOUTH,Data Submitted,0.0,< 5,0.0,
362,RANDOLPH NURSING HOME,Data submitted - no case to report,0.0,0.0,0.0,
363,HERITAGE HOUSE OF SHELBYVILLE,Data submitted - no case to report,0.0,0.0,0.0,
364,ESSEX NURSING AND REHABILITATION CENTER,Data submitted - no case to report,0.0,0.0,0.0,
365,THE WATERS OF RISING SUN,Data Submitted,0.0,< 5,0.0,
366,BROOKDALE GRANGER,Data Submitted,0.0,< 5,0.0,
367,MILLER'S MERRY MANOR - GARRETT,Data submitted - no case to report,0.0,0.0,0.0,
368,ESPECIALLY KIDZ HEALTH & REHAB,Data Submitted,0.0,< 5,0.0,
369,SENIOR LIVING AT FOREST RIDGE,Data submitted - no case to report,0.0,0.0,0.0,
370,MILNER COMMUNITY HEALTH CARE,Data Submitted,0.0,< 5,0.0,
371,EAGLE CREEK HEALTHCARE CENTER,Data Submitted,0.0,< 5,0.0,
372,MILLER'S MERRY MANOR - HARTFORD CITY,Data submitted - no case to report,0.0,0.0,0.0,
373,CROWNPOINTE OF GREENFIELD,Data submitted - no case to report,0.0,0.0,0.0,
374,THE WATERS OF NEW CASTLE,Data submitted - no case to report,0.0,0.0,0.0,
375,BROOKSIDE CARE STRATEGIES,Data submitted - no case to report,0.0,0.0,0.0,
376,LINCOLN HILLS OF NEW ALBANY,Data Submitted,0.0,< 5,0.0,
377,SILVER BIRCH OF COOK ROAD,Data submitted - no case to report,0.0,0.0,0.0,
378,GRAND BROOK MEMORY CARE OF GREENWOOD,Data submitted - no case to report,0.0,0.0,0.0,
379,PARK SQUARE MANOR,Data submitted - no case to report,0.0,0.0,0.0,
380,SIGNATURE HEALTHCARE OF BLUFFTON,Data Submitted,0.0,< 5,0.0,
381,COLONIAL NURSING HOME,Data Submitted,0.0,< 5,0.0,
382,HHC-ASC COLUMBIA HEALTHCARE CENTER,Data submitted - no case to report,0.0,0.0,0.0,
383,GOLDEN LIVING CENTER - PETERSBURG,Data submitted - no case to report,0.0,0.0,0.0,
384,COUNTRYSIDE MANOR HEALTH & LIVING COMMUNITY,Data Submitted,0.0,< 5,0.0,
385,TIPTON PLACE,Data Submitted,0.0,< 5,0.0,
386,HHC-ASC HERITAGE HOUSE REHAB & HEALTH CARE CENTER,Data Submitted,0.0,< 5,0.0,
387,HICKORY CREEK AT MADISON,Data submitted - no case to report,0.0,0.0,0.0,
388,SANCTUARY AT ST PAUL'S,Data Submitted,0.0,< 5,0.0,
389,EVERGREEN VILLAGE AT BLOOMINGTON,Data submitted - no case to report,0.0,0.0,0.0,
390,GEORGETOWN PLACE,Data submitted - no case to report,0.0,0.0,0.0,
391,EMERALD PLACE,Data submitted - no case to report,0.0,0.0,0.0,
392,HILDEGARD HEALTH CENTER,Data submitted - no case to report,0.0,0.0,0.0,
393,GREY STONE HEALTH & REHABILITATION CENTER,Data submitted - no case to report,0.0,0.0,0.0,
394,CORE OF BEDFORD,Data Submitted,0.0,< 5,0.0,
395,HHC-ASC PARK TERRACE VILLAGE,Data submitted - no case to report,0.0,0.0,0.0,
396,HHC-ASC CYPRESS GROVE REHABILITATION CENTER,Data Submitted,0.0,< 5,0.0,
397,HHC-ASC CLARK REHABILITATION AND SKILLED NURSING CENTER,Data submitted - no case to report,0.0,0.0,0.0,
398,PORTAGE MANOR HEALTH CARE FACILITY,Data submitted - no case to report,0.0,0.0,0.0,
399,MANORCARE HEALTH SERVICES,Data submitted - no case to report,0.0,0.0,0.0,
400,EVANSVILLE PROTESTANT HOME,Data submitted - no case to report,0.0,0.0,0.0,
401,CHALET VILLAGE HEALTH AND REHABILITATION CENTER,Data submitted - no case to report,0.0,0.0,0.0,
402,HHC-ASC EASTGATE MANOR NURSING & REHABILITATION CENTER,Data Submitted,0.0,< 5,0.0,
403,CROWNPOINTE OF LEBANON,Data submitted - no case to report,0.0,0.0,0.0,
404,OASIS DEMENTIA CARE,Data submitted - no case to report,0.0,0.0,0.0,
405,SUMMIT PLACE WEST,Data submitted - no case to report,0.0,0.0,0.0,
406,PRIMROSE OF MISHAWAKA,Data submitted - no case to report,0.0,0.0,0.0,
407,GREENWOOD HEALTH AND LIVING COMMUNITY,Data submitted - no case to report,0.0,0.0,0.0,
408,THE HEARTH AT PRESTWICK,Data Submitted,0.0,< 5,0.0,
409,ADAMS WOODCREST,Data submitted - no case to report,0.0,0.0,0.0,
410,JEFFERSON MANOR,Data Submitted,0.0,< 5,0.0,
411,RIVERBEND,Data submitted - no case to report,0.0,0.0,0.0,
412,OSSIAN ASSISTED LIVING COMMUNITY,Data submitted - no case to report,0.0,0.0,0.0,
413,BYRON HEALTH CENTER,Data Submitted,0.0,< 5,0.0,
414,RIPLEY CROSSING,Data submitted - no case to report,0.0,0.0,0.0,
415,MILLER'S MERRY MANOR - ROCKPORT,Data Submitted,0.0,< 5,0.0,
416,HERITAGE OF HUNTINGTON,Data Submitted,0.0,< 5,0.0,
417,BELL OAKS PLACE,Data submitted - no case to report,0.0,0.0,0.0,
418,HILLSIDE MANOR NURSING HOME,Data submitted - no case to report,0.0,0.0,0.0,
419,LOOGOOTEE HEALTHCARE & REHABILITATION CENTER,Data submitted - no case to report,0.0,0.0,0.0,
420,TOWNE CENTRE ASSISTED LIVING,Data submitted - no case to report,0.0,0.0,0.0,
421,MILLER'S MERRY MANOR - SULLIVAN,Data Submitted,0.0,< 5,0.0,
422,THE WATERS OF GREENCASTLE,Data submitted - no case to report,0.0,0.0,0.0,
423,SPRENGER HEALTH CARE OF MISHAWAKA,Data submitted - no case to report,0.0,0.0,0.0,
424,BROWN COUNTY HEALTH AND LIVING COMMUNITY,Data submitted - no case to report,0.0,0.0,0.0,
425,CATHERINE KASPER HOME,Data submitted - no case to report,0.0,0.0,0.0,
426,FIVE STAR RESIDENCES OF BANTA POINTE,Data Submitted,0.0,< 5,0.0,
427,BRECKENRIDGE COMMONS,Data submitted - no case to report,0.0,0.0,0.0,
428,PILGRIM MANOR,Data submitted - no case to report,0.0,0.0,0.0,
429,YORK PLACE,Data submitted - no case to report,0.0,0.0,0.0,
430,THE SPRINGS OF MOORESVILLE,Data submitted - no case to report,0.0,0.0,0.0,
431,BROOKDALE SOUTH BEND,Data submitted - no case to report,0.0,0.0,0.0,
432,HHC-ASC SPRINGHILL VILLAGE,Data submitted - no case to report,0.0,0.0,0.0,
433,BRIDGE AT GARDEN PLAZA,Data submitted - no case to report,0.0,0.0,0.0,
434,HICKORY CREEK AT COLUMBUS,Data Submitted,0.0,< 5,0.0,
435,SWISS VILLAGE,Data Submitted,0.0,< 5,0.0,
436,MORNING VIEW NURSING AND REHABILITATION CENTER,Data submitted - no case to report,0.0,0.0,0.0,
437,HARTSFIELD VILLAGE ASSISTED LIVING,Data Submitted,0.0,< 5,0.0,
438,FIVE STAR RESIDENCES OF LAFAYETTE,Data submitted - no case to report,0.0,0.0,0.0,
439,WESTMINSTER VILLAGE - WEST LAFAYETTE,Data Submitted,0.0,6.0,0.0,
440,RIVER TERRACE HEALTH CARE CENTER,Data Submitted,0.0,< 5,0.0,
441,VERMILLION PLACE,Data submitted - no case to report,0.0,0.0,0.0,
442,SYMPHONY OF CROWN POINT,Data Submitted,0.0,11.0,0.0,
443,ST CHARLES HEALTH CAMPUS,Data Submitted,0.0,< 5,0.0,
444,HI JILL'S HOUSE,Data Submitted,0.0,< 5,0.0,
445,OASIS AT 56TH,Data submitted - no case to report,0.0,0.0,0.0,
446,WEST RIVER HEALTH CAMPUS,Data submitted - no case to report,0.0,0.0,0.0,
447,MANDERLEY HEALTH CARE CENTER,Data Submitted,0.0,< 5,0.0,
448,WHITLOCK PLACE,Data submitted - no case to report,0.0,0.0,0.0,
449,MEADOWS MANOR EAST,Data Submitted,0.0,< 5,0.0,
450,HICKORY CREEK AT CONNERSVILLE,Data submitted - no case to report,0.0,0.0,0.0,
451,BROOKSIDE VILLAGE,Data submitted - no case to report,0.0,0.0,0.0,
452,SMITH FARMS MANOR,Data submitted - no case to report,0.0,0.0,0.0,
453,BLUFFTON REGIONAL MEDICAL CENTER CONTINUING CARE,Data Submitted,0.0,< 5,0.0,
454,THE HEARTH AT JUDAY CREEK,Data submitted - no case to report,0.0,0.0,0.0,
455,BRECKENRIDGE HEALTH & REHABILITATION,Data submitted - no case to report,0.0,0.0,0.0,
456,BICKFORD OF GREENWOOD,Data submitted - no case to report,0.0,0.0,0.0,
457,HHC-ASC COVENTRY MEADOWS ASSISTED LIVING,Data Submitted,0.0,< 5,0.0,
458,THE WATERS OF BATESVILLE,Data submitted - no case to report,0.0,0.0,0.0,
459,SIGNATURE HEALTHCARE OF LAFAYETTE,Data submitted - no case to report,0.0,0.0,0.0,
460,CHESTERTON MANOR,Data submitted - no case to report,0.0,0.0,0.0,
461,HOMEVIEW CENTER OF FRANKLIN,Data submitted - no case to report,0.0,0.0,0.0,
462,OSSIAN HEALTH CARE AND REHABILITATION CENTER,Data Submitted,0.0,< 5,0.0,
463,KEEPSAKE VILLAGE OF COLUMBUS,Data Submitted,0.0,< 5,0.0,
464,CHANDLER PLACE,Data submitted - no case to report,0.0,0.0,0.0,
465,HHC-ASC ROSEBUD VILLAGE,Data Submitted,0.0,< 5,0.0,
466,SAINT ANNE COMMUNITIES - VICTORY NOLL,Data submitted - no case to report,0.0,0.0,0.0,
467,HHC-ASC ZIONSVILLE MEADOWS ASSISTED LIVING,Data submitted - no case to report,0.0,0.0,0.0,
468,CROWNPOINTE OF PORTLAND,Data submitted - no case to report,0.0,0.0,0.0,
469,BICKFORD OF CARMEL,Data submitted - no case to report,0.0,0.0,0.0,
470,PINEKNOLL REHABILITATION CENTRE,Data submitted - no case to report,0.0,0.0,0.0,
471,BRIDGEPOINTE HEALTH CAMPUS,Data submitted - no case to report,0.0,0.0,0.0,
472,HHC-ASC SALEM CROSSING,Data Submitted,0.0,5.0,0.0,
473,HERITAGE HOUSE OF GREENSBURG,Data Submitted,0.0,< 5,0.0,
474,MILLER'S MERRY MANOR - MARION,Data Submitted,0.0,< 5,0.0,
475,HHC-ASC MEADOW VIEW HEALTH AND REHABILITATION,Data submitted - no case to report,0.0,0.0,0.0,
476,GOLDEN LIVING CENTER - LAPORTE,Data submitted - no case to report,0.0,0.0,0.0,
477,HHC-ASC SWISS VILLA NURSING AND REHABILITATION,Data Submitted,0.0,< 5,0.0,
478,WELLBROOKE OF WABASH,Data Submitted,0.0,< 5,0.0,
479,HHC-ASC EDGEWATER WOODS,Data Submitted,0.0,< 5,0.0,
480,UNIVERSITY NURSING AND REHABILITATION CENTER,Data Submitted,0.0,< 5,0.0,
481,CANNON INN ASSISTED LIVING,Data submitted - no case to report,0.0,0.0,0.0,
482,FIVE STAR RESIDENCES OF CLEARWATER,Data submitted - no case to report,0.0,0.0,0.0,
483,HHC-ASC MOUNT VERNON NURSINGAND REHABILITATION,Data Submitted,0.0,< 5,0.0,
484,KINGSTON RESIDENCE OF FORT WAYNE,Data submitted - no case to report,0.0,0.0,0.0,
485,RESIDENCES AT COFFEE CREEK,Data submitted - no case to report,0.0,0.0,0.0,
486,SETTLERS PLACE,Data submitted - no case to report,0.0,0.0,0.0,
487,WICKSHIRE WEST LAFAYETTE,Data submitted - no case to report,0.0,0.0,0.0,
488,JEWEL PLACE,Data submitted - no case to report,0.0,0.0,0.0,
489,SILVER BIRCH OF MISHAWAKA,Data submitted - no case to report,0.0,0.0,0.0,
490,WESTMINSTER VILLAGE - MUNCIE,Data submitted - no case to report,0.0,0.0,0.0,
491,SILVER BIRCH OF KOKOMO,Data Submitted,0.0,< 5,0.0,
492,OWEN VALLEY HEALTH CAMPUS,Data submitted - no case to report,0.0,0.0,0.0,
493,GEORGE ADE MEMORIAL HEALTH CARE CENTER,Data submitted - no case to report,0.0,0.0,0.0,
494,HHC-ASC LAKE POINTE VILLAGE,Data submitted - no case to report,0.0,0.0,0.0,
495,CROWN POINTE SENIOR LIVING COMMUNITY,Data Submitted,0.0,< 5,0.0,
496,HHC-ASC GLENBROOK REHABILITATION & SKILLED NURSING CENTER,Data Submitted,0.0,< 5,0.0,
497,HAMPTON OAKS HEALTH CAMPUS,Data Submitted,0.0,< 5,0.0,
498,ROLLING MEADOWS HEALTH CARE CENTER,Data submitted - no case to report,0.0,0.0,0.0,
499,MILLER'S MERRY MANOR - COLUMBIA CITY,Data Submitted,0.0,< 5,0.0,
500,BICKFORD OF CROWN POINT,Data submitted - no case to report,0.0,0.0,0.0,
501,PLAINFIELD HEALTH CARE CENTER,Data Submitted,0.0,< 5,0.0,
502,PREMIER HEALTHCARE OF NEW HARMONY,Data submitted - no case to report,0.0,0.0,0.0,
503,LIFE CARE CENTER OF VALPARAISO,Data Submitted,0.0,< 5,0.0,
504,PRIMROSE RETIREMENT COMMUNITY OF ANDERSON,Data submitted - no case to report,0.0,0.0,0.0,
505,NORTH WOODS VILLAGE AT EDISON LAKES,Data submitted - no case to report,0.0,0.0,0.0,
506,MILLER'S MERRY MANOR - LOGANSPORT,Data Submitted,0.0,< 5,0.0,
507,GOOD SAMARITAN SOCIETY SHAKAMAK RETIREMENT COMM,Data submitted - no case to report,0.0,0.0,0.0,
508,HERITAGE HOUSE OF RICHMOND,Data submitted - no case to report,0.0,0.0,0.0,
509,HHC-ASC WILLOWDALE VILLAGE,Data submitted - no case to report,0.0,0.0,0.0,
510,HHC-ASC NORTH PARK NURSING CENTER,Data submitted - no case to report,0.0,0.0,0.0,
511,KOKOMO PLACE,Data Submitted,0.0,< 5,0.0,
512,MORGANTOWN HEALTH CARE,Data submitted - no case to report,0.0,0.0,0.0,
513,"CDC RESOURCES, INC. - COUNTRYBROOK",Data submitted - no case to report,0.0,0.0,0.0,
514,MCKINNEY PLACE,Data Submitted,0.0,< 5,0.0,
515,TRANSCENDENT HEALTHCARE OF BOONVILLE,Data submitted - no case to report,0.0,0.0,0.0,
516,VERMILLION CONVALESCENT CENTER,Data submitted - no case to report,0.0,0.0,0.0,
517,KENDALLVILLE MANOR,Data Submitted,0.0,< 5,0.0,
518,RIDGEWOOD HEALTH CAMPUS,Data Submitted,0.0,< 5,0.0,
519,WABASH BICKFORD COTTAGE OPCO,Data submitted - no case to report,0.0,0.0,0.0,
520,WINTERSONG VILLAGE,Data submitted - no case to report,0.0,0.0,0.0,
521,GRAND VALLEY HEALTH & REHAB,Data Submitted,0.0,< 5,0.0,
522,ALEXANDRIA CARE CENTER,Data submitted - no case to report,0.0,0.0,0.0,
523,GENTLECARE OF VINCENNES,Data submitted - no case to report,0.0,0.0,0.0,
524,MILLER'S MERRY MANOR - WARSAW,Data Submitted,0.0,< 5,0.0,
525,ATRIA- NEWBURGH,Data submitted - no case to report,0.0,0.0,0.0,
526,HHC-ASC TIMBERS OF JASPER,Data submitted - no case to report,0.0,0.0,0.0,
527,GOLDEN LIVING CENTER - KNOX,Data Submitted,0.0,< 5,0.0,
528,MILLER'S MERRY MANOR - HUNTINGTON,Data Submitted,0.0,< 5,0.0,
529,HICKORY CREEK AT KENDALLVILLE,Data submitted - no case to report,0.0,0.0,0.0,
530,GRAND VALLEY GARDENS ASSISTED LIVING FACILITY,Data submitted - no case to report,0.0,0.0,0.0,
531,BETHEL POINTE HEALTH AND REHAB,Data Submitted,0.0,< 5,0.0,
532,HELLENIC SENIOR LIVING OF INDIANAPOLIS,Data submitted - no case to report,0.0,0.0,0.0,
533,MILLER'S MERRY MANOR - PERU,Data submitted - no case to report,0.0,0.0,0.0,
534,RIVER CROSSING ASSISTED LIVING,Data Submitted,0.0,< 5,0.0,
535,INDIANA VETERANS HOME,Data Submitted,0.0,< 5,0.0,
536,WESTMINSTER HEALTH CARE CENTER,Data submitted - no case to report,0.0,0.0,0.0,
537,DIGBY PLACE,Data Submitted,0.0,< 5,0.0,
538,PLEASANT VIEW LODGE,Data Submitted,0.0,< 5,0.0,
539,GOLDEN LIVING CENTER - BRANDYWINE,Data Submitted,0.0,< 5,0.0,
540,SYCAMORE MANOR,Data submitted - no case to report,0.0,0.0,0.0,
541,GREEN VALLEY CARE CENTER,Data Submitted,0.0,< 5,0.0,
542,OAK VILLAGE,Data Submitted,0.0,< 5,0.0,
543,GOLDEN LIVING CENTER - MISHAWAKA,Data submitted - no case to report,0.0,0.0,0.0,
544,WYNDMOOR OF CASTLETON,Data submitted - no case to report,0.0,0.0,0.0,
545,HHC-ASC GOOD SAMARITAN HOME & REHABILITATIVE CENTER,Data Submitted,0.0,< 5,0.0,
546,SAINT ANNE COMMUNITIES - RANDALLIA PLACE,Data Submitted,0.0,< 5,0.0,
547,CREASY SPRINGS HEALTH CAMPUS,Data submitted - no case to report,0.0,0.0,0.0,
548,PULASKI HEALTH CARE CENTER,Data Submitted,0.0,< 5,0.0,
549,WYNDMOOR OF EVANSVILLE,Data submitted - no case to report,0.0,0.0,0.0,
550,HELLENIC SENIOR LIVING OF ELKHART,Data submitted - no case to report,0.0,0.0,0.0,
551,LAKE PARK RESIDENTIAL CARE,Data submitted - no case to report,0.0,0.0,0.0,
552,GARDEN VILLA - BLOOMINGTON,Data Submitted,0.0,< 5,0.0,
553,THE MANSION ON MAIN,Data submitted - no case to report,0.0,0.0,0.0,
554,HHC-ASC CLINTON GARDENS,Data Submitted,0.0,< 5,0.0,
555,BRIARCLIFF HEALTH & REHABILITATION CENTER,Data submitted - no case to report,0.0,0.0,0.0,
556,HHC-ASC HERITAGE PARK COMMONS,Data submitted - no case to report,0.0,0.0,0.0,
557,THE CEDARS,Data Submitted,0.0,< 5,0.0,
558,AZALEA HILLS,Data submitted - no case to report,0.0,0.0,0.0,
559,WESTRIDGE HEALTH CARE CENTER,Data submitted - no case to report,0.0,0.0,0.0,
560,FREELANDVILLE COMMUNITY HOME,Data submitted - no case to report,0.0,0.0,0.0,
561,ALBANY HEALTH CARE & REHABILITATION CENTER,Data submitted - no case to report,0.0,0.0,0.0,
562,HICKORY CREEK AT GREENSBURG,Data Submitted,0.0,< 5,0.0,
563,SIGNATURE HEALTHCARE OF BREMEN,Data Submitted,0.0,5.0,0.0,
564,WOODLAND HILLS CARE CENTER,Data submitted - no case to report,0.0,0.0,0.0,
565,HERITAGE CENTER,Data Submitted,0.0,< 5,0.0,
566,AMBER MANOR CARE CENTER,Data submitted - no case to report,0.0,0.0,0.0,
567,SAINT ANTHONY REHAB AND NURSING CENTER,Data Submitted,0.0,< 5,0.0,
568,HHC-ASC TODD-DICKEY NURSING AND REHABILITATION,Data Submitted,0.0,< 5,0.0,
569,MILLER BEACH TERRACE,Data submitted - no case to report,0.0,0.0,0.0,
570,PROVIDENCE HEALTH CARE CENTER,Data submitted - no case to report,0.0,0.0,0.0,
571,SCENIC HILLS AT THE MONASTERY,Data Submitted,0.0,< 5,0.0,
572,SEYMOUR PLACE,Data Submitted,0.0,< 5,0.0,
573,MAPLE MANOR CHRISTIAN HOME,Data Submitted,0.0,< 5,0.0,
574,CROWN SENIOR LIVING,Data submitted - no case to report,0.0,0.0,0.0,
575,VIRGINIA PLACE,Data submitted - no case to report,0.0,0.0,0.0,
576,GLASSWATER CREEK OF PLAINFIELD,Data submitted - no case to report,0.0,0.0,0.0,
577,GREENHILL MANOR,Data submitted - no case to report,0.0,0.0,0.0,
578,MERIDIAN NURSING AND REHABILITATION CENTER,Data submitted - no case to report,0.0,0.0,0.0,
579,VANNONI LIVING CENTER,Data submitted - no case to report,0.0,0.0,0.0,
580,EXCEPTIONAL LIVING CENTER OF BRAZIL,Data submitted - no case to report,0.0,0.0,0.0,
581,SIGNATURE HEALTHCARE OF FORT WAYNE,Data Submitted,0.0,< 5,0.0,
582,RITTENHOUSE VILLAGE AT VALPARAISO,Data submitted - no case to report,0.0,0.0,0.0,
583,HHC-ASC AUTUMN RIDGE REHABILITATION CENTRE,Data Submitted,0.0,< 5,0.0,
584,GOLDEN LIVING CENTER - WOODLANDS,Data Submitted,0.0,< 5,0.0,
585,HHC-ASC SPRINGS VALLEY MEADOWS,Data submitted - no case to report,0.0,0.0,0.0,
586,MILLER'S MERRY MANOR - WABASH WEST,Data submitted - no case to report,0.0,0.0,0.0,
587,MILLER'S MERRY MANOR - DUNKIRK,Data submitted - no case to report,0.0,0.0,0.0,
588,PRAIRIE LAKES HEALTH CAMPUS,Data Submitted,0.0,< 5,0.0,
589,WYNDMOOR OF MARION,Data submitted - no case to report,0.0,0.0,0.0,
590,CHASE CENTER,Data submitted - no case to report,0.0,0.0,0.0,
591,HHC-ASC WILLIAMSPORT NURSING AND REHABILITATION,Data Submitted,0.0,< 5,0.0,
592,WITHAM EXTENDED CARE,Data submitted - no case to report,0.0,0.0,0.0,
593,HICKORY CREEK AT ROCHESTER,Data submitted - no case to report,0.0,0.0,0.0,
594,SILVER BIRCH OF EVANSVILLE,Data Submitted,0.0,< 5,0.0,
595,JOURNEY SENIOR LIVING OF VALPARAISO,Data submitted - no case to report,0.0,0.0,0.0,
596,FIVE STAR RESIDENCES OF NOBLESVILLE,Data Submitted,0.0,< 5,0.0,
597,HHC-ASC EAGLE VALLEY MEADOWS,Data Submitted,0.0,< 5,0.0,
598,THE LAURELS OF DEKALB,Data submitted - no case to report,0.0,0.0,0.0,
599,HHC-ASC BETHANY VILLAGE,Data Submitted,0.0,< 5,0.0,
600,THE LODGE AT SUMMERS POINTE,Data submitted - no case to report,0.0,0.0,0.0,
601,CLARKSVILLE SENIOR LIVING,Data submitted - no case to report,0.0,0.0,0.0,
602,RENSSELAER CARE CENTER,Data submitted - no case to report,0.0,0.0,0.0,
603,BETHEL MANOR,Data Submitted,0.0,< 5,0.0,
604,BLAIR RIDGE HEALTH CAMPUS,Data Submitted,0.0,< 5,0.0,
605,PERSIMMON RIDGE REHABILITATION CENTRE,Data Submitted,0.0,< 5,0.0,
606,MANOR CARE HEALTH SERVICES SUMMER TRACE,Data Submitted,0.0,< 5,0.0,
607,MILLER'S MERRY MANOR - MIDDLETOWN,Data submitted - no case to report,0.0,0.0,0.0,
608,BELLTOWER HEALTH & REHABILITATION CENTER,Data submitted - no case to report,0.0,0.0,0.0,
609,TIMBERCREST SENIOR LIVING COMMUNITY,Data Submitted,0.0,< 5,0.0,
610,TIMBER CREEK VILLAGE,Data submitted - no case to report,0.0,0.0,0.0,
611,BROOKDALE BLOOMINGTON,Data submitted - no case to report,0.0,0.0,0.0,
612,SUMMERFIELD HEALTH CARE CENTER,Data submitted - no case to report,0.0,0.0,0.0,
613,CATHEDRAL HEALTH CARE CENTER,Data Submitted,0.0,< 5,0.0,
614,MULBERRY HEALTH & REHABILITATION CENTER,Data Submitted,0.0,7.0,0.0,
615,AUTUMN HILLS ALZHEIMER'S SPECIAL CARE CENTER,Data submitted - no case to report,0.0,0.0,0.0,
616,BRENTWOOD AT HOBART,Data Submitted,0.0,< 5,0.0,
617,BRIDGEWATER REHABILITATION CENTRE,Data submitted - no case to report,0.0,0.0,0.0,
618,ORCHARD POINTE HEALTH CAMPUS,Data Submitted,0.0,< 5,0.0,
619,KINGSTON AT DUPONT,Data Submitted,0.0,< 5,0.0,
620,HICKORY CREEK AT SCOTTSBURG,Data submitted - no case to report,0.0,0.0,0.0,
621,BRIGHTSTAR SENIOR LIVING OF FORT WAYNE,Data submitted - no case to report,0.0,0.0,0.0,
622,CROWNPOINTE OF CARMEL,Data submitted - no case to report,0.0,0.0,0.0,
623,LIFE CARE CENTER OF MICHIGAN CITY,Data Submitted,0.0,< 5,0.0,
624,LINCOLNSHIRE PLACE - FORT WAYNE,Data Submitted,0.0,< 5,0.0,
625,HICKORY CREEK AT WINAMAC,Data submitted - no case to report,0.0,0.0,0.0,
626,ROLLING HILLS HEALTHCARE CENTER,Data Submitted,0.0,< 5,0.0,
627,FLATROCK RIVER LODGE,Data submitted - no case to report,0.0,0.0,0.0,
628,GOLDEN LIVING CENTER - FOUNTAINVIEW PLACE,Data Submitted,0.0,7.0,0.0,
629,FRIENDS FELLOWSHIP COMMUNITY,Data Submitted,0.0,< 5,0.0,
630,VERNON HEALTH & REHABILITATION,Data submitted - no case to report,0.0,0.0,0.0,
631,AUTUMN WOODS HEALTH CAMPUS,Data Submitted,0.0,< 5,0.0,
632,VILLAS OF HOLLY BROOK INDIANA,Data submitted - no case to report,0.0,0.0,0.0,
