_id,Facility,Facility_Submission_Status,Infected_Residents,Infected_Staff,Resident_Deaths,Staff_deaths
323,HHC-ASC ROSEWALK VILLAGE OF LAFAYETTE,Data Submitted,55.0,15.0,5.0,
324,HHC-ASC SALEM CROSSING,Data Submitted,0.0,5.0,0.0,
325,HHC-ASC SEYMOUR CROSSING,Data Submitted,0.0,6.0,0.0,
326,HHC-ASC SPRING MILL MEADOWS,Data Submitted,47.0,5.0,13.0,
327,HHC-ASC SPRINGHILL VILLAGE,Data Submitted,0.0,0.0,0.0,
328,HHC-ASC SPRINGS VALLEY MEADOWS,Data Submitted,0.0,0.0,0.0,
329,HHC-ASC STONEBROOKE REHAB CENTER,Data Submitted,54.0,18.0,13.0,
330,HHC-ASC SUMMIT CITY NURSING AND REHABILITATION,Data Submitted,< 5,7.0,0.0,
331,HHC-ASC SWISS VILLA NURSING AND REHABILITATION,Data Submitted,0.0,< 5,0.0,
332,HHC-ASC TIMBERS OF JASPER,Data Submitted,0.0,< 5,0.0,
333,HHC-ASC TODD-DICKEY NURSING AND REHABILITATION,Data Submitted,0.0,< 5,0.0,
334,HHC-ASC TRAILPOINT VILLAGE,Data Submitted,< 5,< 5,0.0,
335,HHC-ASC UNIVERSITY NURSING CENTER,Data Submitted,0.0,< 5,0.0,
336,HHC-ASC VALPARAISO CARE & REHABILITATION,Data Submitted,0.0,< 5,0.0,
337,HHC-ASC WASHINGTON HEALTHCARE CENTER,Data Submitted,31.0,10.0,9.0,
338,HHC-ASC WATERS EDGE VILLAGE,Data Submitted,10.0,8.0,< 5,
339,HHC-ASC WEST BEND NURSING AND REHABILITATION,Data Submitted,37.0,6.0,7.0,
340,HHC-ASC WESTVIEW NURSING AND REHABILITATION CENTER,Data Submitted,28.0,12.0,8.0,
341,HHC-ASC WILLIAMSPORT NURSING AND REHABILITATION,Data Submitted,0.0,< 5,0.0,
342,HHC-ASC WILLOWDALE VILLAGE,Data Submitted,0.0,0.0,0.0,
343,HHC-ASC ZIONSVILLE MEADOWS,Data Submitted,23.0,< 5,5.0,
344,HI JILL'S HOUSE,Data Submitted,0.0,< 5,0.0,
345,HICKORY CREEK AT COLUMBUS,Data Submitted,0.0,< 5,0.0,
346,HICKORY CREEK AT CONNERSVILLE,Data Submitted,0.0,0.0,0.0,
347,HICKORY CREEK AT CRAWFORDSVILLE,Data Submitted,0.0,0.0,0.0,
348,HICKORY CREEK AT FRANKLIN,Data Submitted,0.0,0.0,0.0,
349,HICKORY CREEK AT GREENSBURG,Data Submitted,0.0,< 5,0.0,
350,HICKORY CREEK AT HUNTINGTON,Data Submitted,0.0,< 5,0.0,
351,HICKORY CREEK AT KENDALLVILLE,Data Submitted,0.0,0.0,0.0,
352,HICKORY CREEK AT MADISON,Data Submitted,0.0,< 5,0.0,
353,HICKORY CREEK AT NEW CASTLE,Data Submitted,< 5,0.0,< 5,
354,HICKORY CREEK AT PERU,Data Submitted,0.0,0.0,0.0,
355,HICKORY CREEK AT ROCHESTER,Data Submitted,0.0,0.0,0.0,
356,HICKORY CREEK AT SCOTTSBURG,Data Submitted,0.0,0.0,0.0,
357,HICKORY CREEK AT SUNSET,Data Submitted,0.0,0.0,0.0,
358,HICKORY CREEK AT WINAMAC,Data Submitted,0.0,0.0,0.0,
359,HILDEGARD HEALTH CENTER,Data Submitted,0.0,0.0,0.0,
360,HILLSIDE MANOR NURSING HOME,Data Submitted,0.0,0.0,0.0,
361,HOLY CROSS VILLAGE AT NOTRE DAME,Data Submitted,0.0,< 5,0.0,
362,HOMESTEAD HEALTHCARE CENTER,Data Submitted,< 5,6.0,< 5,
363,HOMEVIEW CENTER OF FRANKLIN,Data Submitted,0.0,0.0,0.0,
364,HOMEWOOD HEALTH CAMPUS,Data Submitted,47.0,16.0,24.0,
365,HOOSIER CHRISTIAN VILLAGE,Data Submitted,0.0,0.0,0.0,
366,HOOSIER VILLAGE,Data Submitted,14.0,17.0,< 5,
367,HOOVERWOOD,Data Submitted,43.0,42.0,19.0,
368,HUBBARD HILL ESTATES,Data Submitted,14.0,14.0,< 5,
369,INDIAN CREEK HEALTHCARE CENTER,Data Submitted,0.0,< 5,0.0,
370,INDIANA VETERANS HOME,Data Submitted,0.0,< 5,0.0,
371,JEWEL PLACE,Data Submitted,0.0,0.0,0.0,
372,JOURNEY SENIOR LIVING OF MERRILLVILLE,Data Submitted,0.0,0.0,0.0,
373,JOURNEY SENIOR LIVING OF VALPARAISO,Data Submitted,0.0,0.0,0.0,
374,KEEPSAKE VILLAGE OF COLUMBUS,Data Submitted,9.0,< 5,< 5,
375,KENDALLVILLE MANOR,Data Submitted,0.0,< 5,0.0,
376,KESSLERWOOD PLACE,Data Submitted,34.0,10.0,14.0,
377,KEYSTONE WOODS,Data Submitted,0.0,0.0,0.0,
378,KINGSTON AT DUPONT,Data Submitted,0.0,< 5,0.0,
379,KINGSTON CARE CENTER OF FORT WAYNE,Data Submitted,56.0,41.0,13.0,
380,KINGSTON RESIDENCE OF FORT WAYNE,Data Submitted,0.0,0.0,0.0,
381,KOKOMO HEALTHCARE CENTER,Data Submitted,49.0,6.0,< 5,
382,KOKOMO PLACE,Data Submitted,0.0,< 5,0.0,
383,LAFAYETTE BICKFORD COTTAGE,Data Submitted,0.0,0.0,0.0,
384,LAKE CITY PLACE,Data Submitted,0.0,0.0,0.0,
385,LAKE COUNTY NURSING AND REHABILITATION CENTER,Data Submitted,23.0,8.0,< 5,
386,LAKE PARK RESIDENTIAL CARE,Data Submitted,0.0,0.0,0.0,
387,LAKEVIEW MANOR,Data Submitted,21.0,< 5,< 5,
388,LAMPLIGHT INN OF FORT WAYNE,Facility has not submitted Data,0.0,0.0,0.0,
389,LEGACY LIVING OF JASPER,Data Submitted,0.0,0.0,0.0,
390,LIBERTY VILLAGE,Data Submitted,33.0,12.0,12.0,
391,LIFE CARE CENTER OF FORT WAYNE,Data Submitted,0.0,19.0,0.0,
392,LIFE CARE CENTER OF LAGRANGE,Data Submitted,0.0,< 5,0.0,
393,LIFE CARE CENTER OF MICHIGAN CITY,Data Submitted,0.0,< 5,0.0,
394,LIFE CARE CENTER OF ROCHESTER,Data Submitted,0.0,< 5,0.0,
395,LIFE CARE CENTER OF THE WILLOWS,Data Submitted,52.0,17.0,12.0,
396,LIFE CARE CENTER OF VALPARAISO,Data Submitted,0.0,< 5,0.0,
397,LINCOLN HILLS OF NEW ALBANY,Data Submitted,0.0,< 5,0.0,
398,LINCOLNSHIRE HEALTH & REHABILITATION CENTER,Data Submitted,12.0,9.0,< 5,
399,LINCOLNSHIRE PLACE - FORT WAYNE,Data Submitted,0.0,< 5,0.0,
400,LINDBERG CROSSING SENIOR LIVING,Data Submitted,< 5,0.0,< 5,
401,LODGE OF THE WABASH,Data Submitted,0.0,< 5,0.0,
402,LOOGOOTEE HEALTHCARE & REHABILITATION CENTER,Data Submitted,0.0,0.0,0.0,
403,LOOGOOTEE NURSING CENTER,Data Submitted,< 5,0.0,0.0,
404,LUTHERAN COMMUNITY HOME,Data Submitted,< 5,0.0,0.0,
405,LUTHERAN LIFE VILLAGES,Data Submitted,41.0,24.0,17.0,
406,LUTHERAN LIFE VILLAGES AT KENDALLVILLE,Data Submitted,69.0,27.0,14.0,
407,LUTHERAN LIFE VILLAGES AT PINE VALLEY,Data Submitted,0.0,< 5,0.0,
408,LYND PLACE,Data Submitted,0.0,< 5,0.0,
409,LYNHURST HEALTHCARE,Facility has not submitted Data,0.0,0.0,0.0,
410,MAJESTIC CARE OF AVON,Data Submitted,11.0,< 5,< 5,
411,MAJESTIC CARE OF CONNERSVILLE,Data Submitted,21.0,10.0,< 5,
412,MAJESTIC CARE OF FORT WAYNE,Data Submitted,< 5,0.0,0.0,
413,MAJESTIC CARE OF NEW HAVEN,Data Submitted,0.0,< 5,0.0,
414,MAJESTIC CARE OF NORTH VERNON,Data Submitted,24.0,7.0,8.0,
415,MAJESTIC CARE OF SHERIDAN,Data Submitted,0.0,< 5,0.0,
416,MAJESTIC CARE OF WEST ALLEN,Data Submitted,16.0,< 5,< 5,
417,MANDERLEY HEALTH CARE CENTER,Data Submitted,0.0,< 5,0.0,
418,MANOR CARE HEALTH SERVICES SUMMER TRACE,Data Submitted,0.0,< 5,0.0,
419,MANORCARE HEALTH SERVICES,Data Submitted,0.0,0.0,0.0,
420,MAPLE MANOR CHRISTIAN HOME,Data Submitted,0.0,< 5,0.0,
421,MARQUETTE,Data Submitted,17.0,17.0,8.0,
422,MASON HEALTH CARE CENTER,Data Submitted,18.0,11.0,< 5,
423,MCCORDSVILLE SENIOR LIVING,Data Submitted,6.0,< 5,5.0,
424,MCGIVNEY HEALTH CARE CENTER,Data Submitted,18.0,< 5,5.0,
425,MCKINNEY PLACE,Data Submitted,0.0,< 5,0.0,
426,MEADOW BROOK SENIOR LIVING,Data Submitted,0.0,0.0,0.0,
427,MEADOWOOD HEALTH PAVILION,Data Submitted,< 5,5.0,0.0,
428,MEADOWS MANOR EAST,Data Submitted,< 5,< 5,0.0,
429,MEADOWS MANOR NORTH,Data Submitted,0.0,0.0,0.0,
430,MEMORIAL HOSPITAL - SKILLED CARING CENTER,Data Submitted,< 5,< 5,0.0,
431,MERIDIAN NURSING AND REHABILITATION CENTER,Data Submitted,< 5,< 5,< 5,
432,MIDDLETOWN NURSING AND REHABILITATION CENTER,Data Submitted,0.0,0.0,0.0,
433,MILL POND HEALTH CAMPUS,Data Submitted,< 5,0.0,0.0,
434,MILLER BEACH TERRACE,Data Submitted,0.0,0.0,0.0,
435,MILLER'S AT OAK POINTE,Data Submitted,0.0,< 5,0.0,
436,MILLER'S HEALTH & REHAB,Data Submitted,0.0,< 5,0.0,
437,MILLER'S MERRY MANOR - CHESTERFIELD,Data Submitted,0.0,0.0,0.0,
438,MILLER'S MERRY MANOR - COLUMBIA CITY,Data Submitted,0.0,< 5,0.0,
439,MILLER'S MERRY MANOR - CULVER,Data Submitted,0.0,< 5,0.0,
440,MILLER'S MERRY MANOR - DUNKIRK,Data Submitted,0.0,< 5,0.0,
441,MILLER'S MERRY MANOR - FORT WAYNE,Data Submitted,7.0,< 5,< 5,
442,MILLER'S MERRY MANOR - GARRETT,Data Submitted,0.0,0.0,0.0,
443,MILLER'S MERRY MANOR - HARTFORD CITY,Data Submitted,0.0,0.0,0.0,
444,MILLER'S MERRY MANOR - HOBART,Data Submitted,33.0,9.0,7.0,
445,MILLER'S MERRY MANOR - HOPE,Data Submitted,18.0,5.0,< 5,
446,MILLER'S MERRY MANOR - HUNTINGTON,Data Submitted,0.0,< 5,0.0,
447,MILLER'S MERRY MANOR - INDY EAST,Data Submitted,52.0,17.0,9.0,
448,MILLER'S MERRY MANOR - LAGRANGE,Data Submitted,0.0,0.0,0.0,
449,MILLER'S MERRY MANOR - LOGANSPORT,Data Submitted,0.0,< 5,0.0,
450,MILLER'S MERRY MANOR - MARION,Data Submitted,0.0,< 5,0.0,
451,MILLER'S MERRY MANOR - MIDDLETOWN,Data Submitted,0.0,0.0,0.0,
452,MILLER'S MERRY MANOR - MOORESVILLE,Data Submitted,< 5,0.0,0.0,
453,MILLER'S MERRY MANOR - NEW CARLISLE,Data Submitted,0.0,0.0,0.0,
454,MILLER'S MERRY MANOR - PERU,Data Submitted,0.0,0.0,0.0,
455,MILLER'S MERRY MANOR - PLYMOUTH,Data Submitted,61.0,40.0,20.0,
456,MILLER'S MERRY MANOR - ROCKPORT,Data Submitted,< 5,5.0,0.0,
457,MILLER'S MERRY MANOR - RUSHVILLE,Data Submitted,0.0,0.0,0.0,
458,MILLER'S MERRY MANOR - SULLIVAN,Data Submitted,0.0,< 5,0.0,
459,MILLER'S MERRY MANOR - SYRACUSE,Data Submitted,< 5,< 5,0.0,
460,MILLER'S MERRY MANOR - TIPTON,Data Submitted,71.0,12.0,6.0,
461,MILLER'S MERRY MANOR - WABASH EAST,Data Submitted,0.0,0.0,0.0,
462,MILLER'S MERRY MANOR - WABASH WEST,Data Submitted,0.0,0.0,0.0,
463,MILLER'S MERRY MANOR - WAKARUSA,Data Submitted,14.0,< 5,< 5,
464,MILLER'S MERRY MANOR - WALKERTON,Data Submitted,0.0,< 5,0.0,
465,MILLER'S MERRY MANOR - WARSAW,Data Submitted,19.0,10.0,0.0,
466,MILLER'S SENIOR LIVING COMMUNITY,Data Submitted,39.0,9.0,11.0,
467,MILNER COMMUNITY HEALTH CARE,Data Submitted,0.0,< 5,0.0,
468,MITCHELL MANOR,Data Submitted,46.0,7.0,14.0,
469,MONROE PLACE,Data Submitted,< 5,0.0,< 5,
470,MORGANTOWN HEALTH CARE,Data Submitted,0.0,0.0,0.0,
471,MORNING BREEZE RETIREMENT COMMUNITY AND HEALTHCARE,Data Submitted,34.0,18.0,9.0,
472,MORNING POINTE OF FRANKLIN,Data Submitted,< 5,< 5,< 5,
473,MORNING VIEW NURSING AND REHABILITATION CENTER,Data Submitted,< 5,0.0,< 5,
474,MORRISON WOODS HEALTH CAMPUS,Data Submitted,< 5,0.0,0.0,
475,MORRISTOWN MANOR,Data Submitted,60.0,16.0,14.0,
476,MULBERRY HEALTH & REHABILITATION CENTER,Data Submitted,< 5,9.0,0.0,
477,MUNSTER MED-INN,Data Submitted,52.0,21.0,18.0,
478,NEW ALBANY NURSING AND REHABILITATION CENTER,Data Submitted,31.0,5.0,< 5,
479,NEWBURGH HEALTH CARE,Data Submitted,0.0,< 5,0.0,
480,NORTH RIDGE VILLAGE NURSING & REHABILITATION CENTER,Data Submitted,< 5,< 5,0.0,
481,NORTH RIVER HEALTH CAMPUS,Data Submitted,< 5,0.0,0.0,
482,NORTH WOODS VILLAGE AT EDISON LAKES,Data Submitted,0.0,< 5,0.0,
483,NORTH WOODS VILLAGE AT INVERNESS LAKE,Data Submitted,< 5,< 5,0.0,
484,NORTHERN LAKES NURSING AND REHABILITATION CENTER,Data Submitted,0.0,0.0,0.0,
485,NORTHVIEW HEALTH AND LIVING,Data Submitted,0.0,0.0,0.0,
486,NORTHWEST MANOR HEALTH CARE CENTER,Data Submitted,74.0,42.0,21.0,
487,OAK GROVE CHRISTIAN RETIREMENT VILLAGE,Data Submitted,0.0,< 5,0.0,
488,OAK VILLAGE,Data Submitted,0.0,< 5,0.0,
489,OAKBROOK VILLAGE,Data Submitted,0.0,0.0,0.0,
490,OAKWOOD HEALTH CAMPUS,Data Submitted,35.0,27.0,11.0,
491,OASIS AT 30TH,Data Submitted,< 5,0.0,0.0,
492,OASIS AT 56TH,Data Submitted,0.0,0.0,0.0,
493,OASIS DEMENTIA CARE,Data Submitted,0.0,0.0,0.0,
494,ORCHARD POINTE HEALTH CAMPUS,Data Submitted,0.0,< 5,0.0,
495,OSSIAN HEALTH CARE AND REHABILITATION CENTER,Data Submitted,0.0,< 5,0.0,
496,OTTERBEIN FRANKLIN SENIORLIFE COMM & COM CARE,Data Submitted,62.0,38.0,20.0,
497,OWEN VALLEY HEALTH CAMPUS,Data Submitted,0.0,0.0,0.0,
498,PADDOCK SPRINGS,Data Submitted,< 5,< 5,< 5,
499,PAOLI HEALTH AND LIVING COMMUNITY,Data Submitted,75.0,25.0,19.0,
500,PARK PLACE HEALTH AND WELLNESS CENTER,Data Submitted,< 5,0.0,0.0,
501,PARK PLACE SENIOR LIVING,Data Submitted,< 5,8.0,< 5,
502,PARKER HEALTH CARE & REHABILITATION CENTER,Data Submitted,0.0,0.0,0.0,
503,PARKVIEW CARE CENTER,Data Submitted,0.0,0.0,0.0,
504,PARKVIEW HAVEN,Data Submitted,0.0,0.0,0.0,
505,PEABODY RETIREMENT COMMUNITY,Data Submitted,9.0,70.0,< 5,
506,PERSIMMON RIDGE REHABILITATION CENTRE,Data Submitted,0.0,< 5,0.0,
507,PILGRIM MANOR,Data Submitted,0.0,< 5,0.0,
508,PINE HAVEN HEALTH AND REHABILITATION CENTER,Data Submitted,24.0,8.0,0.0,
509,PINE KNOLL ASSISTED LIVING CENTER,Data Submitted,0.0,0.0,0.0,
510,PINEKNOLL REHABILITATION CENTRE,Data Submitted,0.0,0.0,0.0,
511,PLAINFIELD HEALTH CARE CENTER,Data Submitted,< 5,< 5,0.0,
512,PLEASANT VIEW LODGE,Data Submitted,0.0,< 5,0.0,
513,PORTAGE MANOR HEALTH CARE FACILITY,Data Submitted,0.0,0.0,0.0,
514,PRAIRIE LAKES HEALTH CAMPUS,Data Submitted,5.0,10.0,< 5,
515,PREMIER HEALTHCARE OF NEW HARMONY,Data Submitted,0.0,0.0,0.0,
516,PRESENCE SACRED HEART HOME,Data Submitted,28.0,7.0,12.0,
517,PRIMROSE MEMORY CARE OF ANDERSON,Data Submitted,0.0,0.0,0.0,
518,PRIMROSE OF MISHAWAKA,Data Submitted,0.0,< 5,0.0,
519,PRIMROSE OF NEWBURGH,Data Submitted,0.0,< 5,0.0,
520,PRIMROSE RETIREMENT COMMUNITY OF ANDERSON,Data Submitted,0.0,0.0,0.0,
521,PRIMROSE RETIREMENT COMMUNITY OF KOKOMO,Data Submitted,< 5,< 5,< 5,
522,PROVIDENCE ANDERSON,Data Submitted,8.0,< 5,6.0,
523,PROVIDENCE HEALTH CARE CENTER,Data Submitted,0.0,< 5,0.0,
524,PULASKI HEALTH CARE CENTER,Data Submitted,0.0,< 5,0.0,
525,RANDOLPH NURSING HOME,Data Submitted,0.0,0.0,0.0,
526,RAWLINS HOUSE HEALTH & LIVING COMMUNITY,Data Submitted,9.0,< 5,< 5,
527,REHABILITATION CENTER AT HARTSFIELD VILLAGE,Data Submitted,< 5,< 5,< 5,
528,RENSSELAER CARE CENTER,Data Submitted,0.0,0.0,0.0,
529,RESIDENCES AT COFFEE CREEK,Data Submitted,0.0,0.0,0.0,
530,RESIDENCES AT DEER CREEK,Data Submitted,< 5,< 5,0.0,
531,RETREAT AT THE STRATFORD,Data Submitted,16.0,15.0,6.0,
532,RICHLAND BEAN BLOSSOM HEALTH CARE CENTER,Data Submitted,< 5,0.0,< 5,
533,RIDGEWOOD HEALTH CAMPUS,Data Submitted,0.0,< 5,0.0,
534,RIPLEY CROSSING,Data Submitted,0.0,0.0,0.0,
535,RITTENHOUSE VILLAGE AT MICHIGAN CITY,Data Submitted,27.0,11.0,9.0,
536,RITTENHOUSE VILLAGE AT NORTHSIDE,Data Submitted,< 5,0.0,< 5,
537,RITTENHOUSE VILLAGE AT PORTAGE,Data Submitted,0.0,0.0,0.0,
538,RITTENHOUSE VILLAGE AT VALPARAISO,Data Submitted,0.0,0.0,0.0,
539,RIVER CROSSING ASSISTED LIVING,Data Submitted,0.0,< 5,0.0,
540,RIVER POINTE HEALTH CAMPUS,Data Submitted,< 5,< 5,0.0,
541,RIVER TERRACE HEALTH CAMPUS,Data Submitted,< 5,< 5,0.0,
542,RIVER TERRACE HEALTH CARE CENTER,Data Submitted,0.0,< 5,0.0,
543,RIVERBEND,Data Submitted,0.0,0.0,0.0,
544,RIVEROAKS HEALTH CAMPUS,Data Submitted,< 5,< 5,0.0,
545,RIVERWALK COMMUNITIES,Data Submitted,< 5,< 5,0.0,
546,ROBIN RUN,Data Submitted,< 5,< 5,< 5,
547,ROBIN RUN HEALTH CENTER,Data Submitted,33.0,13.0,6.0,
548,ROLLING HILLS HEALTHCARE CENTER,Data Submitted,0.0,< 5,0.0,
549,ROLLING MEADOWS HEALTH CARE CENTER,Data Submitted,< 5,5.0,0.0,
550,ROSE SENIOR LIVING CARMEL,Data Submitted,11.0,13.0,0.0,
551,ROSEWOOD MANOR,Data Submitted,0.0,0.0,0.0,
552,RURAL HEALTH CARE CENTER,Data Submitted,< 5,< 5,< 5,
553,SAGE BLUFF HEALTH & REHAB CENTER,Data Submitted,0.0,0.0,0.0,
554,SAINT ANNE COMMUNITIES - RANDALLIA PLACE,Data Submitted,0.0,< 5,0.0,
555,SAINT ANNE COMMUNITIES - VICTORY NOLL,Data Submitted,0.0,0.0,0.0,
556,SAINT ANTHONY - CROWN POINT,Data Submitted,81.0,23.0,24.0,
557,SAINT ANTHONY REHAB AND NURSING CENTER,Data Submitted,0.0,< 5,0.0,
558,SANCTUARY AT HOLY CROSS,Data Submitted,< 5,< 5,< 5,
559,SANCTUARY AT ST PAUL'S,Data Submitted,14.0,11.0,< 5,
560,SANDERS GLEN,Data Submitted,0.0,0.0,0.0,
561,SCENIC HILLS AT THE MONASTERY,Data Submitted,< 5,< 5,0.0,
562,SEBO'S NURSING AND REHABILITATION CENTER,Data Submitted,62.0,21.0,21.0,
563,SELLERSBURG HEALTHCARE CENTER,Data Submitted,17.0,15.0,< 5,
564,SENIOR SUITES AT THE LELAND,Data Submitted,0.0,0.0,0.0,
565,SETTLERS PLACE,Data Submitted,0.0,0.0,0.0,
566,SEYMOUR PLACE,Data Submitted,0.0,< 5,0.0,
567,SHADY NOOK CARE CENTER,Data Submitted,58.0,19.0,19.0,
568,SIGNATURE HEALTHCARE AT PARKWOOD,Data Submitted,35.0,21.0,6.0,
569,SIGNATURE HEALTHCARE OF BLUFFTON,Data Submitted,0.0,< 5,0.0,
570,SIGNATURE HEALTHCARE OF BREMEN,Data Submitted,0.0,5.0,0.0,
571,SIGNATURE HEALTHCARE OF FORT WAYNE,Data Submitted,0.0,< 5,0.0,
572,SIGNATURE HEALTHCARE OF LAFAYETTE,Data Submitted,0.0,< 5,0.0,
573,SIGNATURE HEALTHCARE OF MUNCIE,Data Submitted,53.0,19.0,10.0,
574,SIGNATURE HEALTHCARE OF NEWBURGH,Data Submitted,42.0,13.0,13.0,
575,SIGNATURE HEALTHCARE OF SOUTH BEND,Data Submitted,0.0,0.0,0.0,
576,SIGNATURE HEALTHCARE OF TERRE HAUTE,Data Submitted,0.0,< 5,0.0,
577,SILVER BIRCH OF COOK ROAD,Data Submitted,0.0,0.0,0.0,
578,SILVER BIRCH OF EVANSVILLE,Data Submitted,0.0,< 5,0.0,
579,SILVER BIRCH OF FORT WAYNE,Data Submitted,0.0,< 5,0.0,
580,SILVER BIRCH OF HAMMOND,Data Submitted,< 5,< 5,0.0,
581,SILVER BIRCH OF KOKOMO,Data Submitted,0.0,0.0,0.0,
582,SILVER BIRCH OF MICHIGAN CITY,Data Submitted,0.0,< 5,0.0,
583,SILVER BIRCH OF MISHAWAKA,Data Submitted,0.0,0.0,0.0,
584,SILVER BIRCH OF MUNCIE,Data Submitted,< 5,< 5,< 5,
585,SILVER BIRCH OF TERRE HAUTE,Data Submitted,0.0,0.0,0.0,
586,SILVER MEMORIES HEALTH CARE,Data Submitted,0.0,0.0,0.0,
587,SILVER OAKS HEALTH CAMPUS,Data Submitted,5.0,< 5,< 5,
588,SIMMONS LOVING CARE HEALTH FACILITY,Data Submitted,0.0,0.0,0.0,
589,SOLARBON TERRACE,Data Submitted,0.0,< 5,0.0,
590,SOUTH SHORE HEALTH & REHABILITATION CENTER,Data Submitted,36.0,17.0,10.0,
591,SOUTHERN INDIANA REHABILITATION HOSPITAL,Data Submitted,5.0,0.0,< 5,
592,SOUTHFIELD VILLAGE,Data Submitted,0.0,0.0,0.0,
593,SOUTHPOINTE HEALTHCARE CENTER,Data Submitted,22.0,10.0,8.0,
594,SOUTHWOOD HEALTHCARE CENTER,Data Submitted,0.0,< 5,0.0,
595,SPRENGER HEALTH CARE OF MISHAWAKA,Data Submitted,< 5,< 5,0.0,
596,SPRING MILL HEALTH CAMPUS,Data Submitted,< 5,< 5,< 5,
597,SPRINGHURST HEALTH CAMPUS,Data Submitted,< 5,< 5,< 5,
598,ST ANDREWS HEALTH CAMPUS,Data Submitted,< 5,< 5,0.0,
599,ST AUGUSTINE HOME FOR THE AGED,Data Submitted,16.0,7.0,6.0,
600,ST CHARLES HEALTH CAMPUS,Data Submitted,21.0,11.0,< 5,
601,ST ELIZABETH HEALTHCARE CENTER,Data Submitted,15.0,6.0,0.0,
602,ST MARY HEALTHCARE CENTER,Data Submitted,0.0,< 5,0.0,
603,ST PAUL HERMITAGE,Data Submitted,0.0,9.0,0.0,
604,STONEBRIDGE HEALTH CAMPUS,Data Submitted,< 5,< 5,< 5,
605,STONECROFT HEALTH CAMPUS,Data Submitted,< 5,< 5,0.0,
606,SUGAR CREEK REHABILITATION AND CONVALESCENT CENTER,Data Submitted,0.0,< 5,0.0,
607,SUGAR FORK CROSSING,Data Submitted,0.0,0.0,0.0,
608,SUGAR GROVE SENIOR LIVING,Data Submitted,< 5,0.0,0.0,
609,SUMMERFIELD HEALTH CARE CENTER,Data Submitted,0.0,0.0,0.0,
610,SUMMIT HEALTH AND LIVING,Data Submitted,19.0,27.0,6.0,
611,SUMMIT PLACE WEST,Data Submitted,0.0,0.0,0.0,
612,SUNRISE ON OLD MERIDIAN,Data Submitted,0.0,< 5,0.0,
613,SWISS VILLAGE,Data Submitted,0.0,< 5,0.0,
614,SYMPHONY OF CHESTERTON,Data Submitted,< 5,< 5,< 5,
615,SYMPHONY OF CROWN POINT,Data Submitted,0.0,11.0,0.0,
616,SYMPHONY OF DYER,Data Submitted,77.0,27.0,12.0,
617,TANGLEWOOD TRACE,Facility has not submitted Data,0.0,0.0,0.0,
618,THE CEDARS,Data Submitted,0.0,< 5,0.0,
619,THE ENCLAVE SENIOR LIVING AT SAXONY,Facility has not submitted Data,0.0,0.0,0.0,
620,THE HARRISON AT EAGLE VALLEY,Data Submitted,32.0,18.0,5.0,
621,THE HEARTH AT JUDAY CREEK,Data Submitted,0.0,0.0,0.0,
622,THE HEARTH AT PRESTWICK,Data Submitted,0.0,< 5,0.0,
623,THE HEARTH AT STONES CROSSING,Data Submitted,8.0,< 5,< 5,
624,THE HEARTH AT SYCAMORE VILLAGE,Data Submitted,< 5,0.0,0.0,
625,THE HEARTH AT TUDOR GARDENS,Data Submitted,15.0,7.0,5.0,
626,THE LANE HOUSE,Data Submitted,0.0,0.0,0.0,
627,THE LAURELS OF DEKALB,Data Submitted,0.0,0.0,0.0,
628,THE LODGE AT SUMMERS POINTE,Data Submitted,0.0,0.0,0.0,
629,THE MANSION ON MAIN,Data Submitted,0.0,0.0,0.0,
630,THE MILTON HOME,Data Submitted,< 5,< 5,< 5,
631,THE RESTORACY OF WHITESTOWN,Data Submitted,< 5,< 5,0.0,
632,THE SPRINGS OF LAFAYETTE,Data Submitted,< 5,0.0,0.0,
633,THE SPRINGS OF MOORESVILLE,Data Submitted,< 5,< 5,< 5,
634,THE SPRINGS OF RICHMOND,Data Submitted,5.0,< 5,< 5,
635,THE TOWNE HOUSE RETIREMENT CENTER,Data Submitted,0.0,< 5,0.0,
636,THE VILLAGE AT HAMILTON POINTE,Data Submitted,38.0,30.0,12.0,
637,THE VILLAGES AT HISTORIC SILVERCREST,Data Submitted,< 5,< 5,0.0,
638,THE WATERS OF BATESVILLE,Data Submitted,0.0,< 5,0.0,
639,THE WATERS OF CLIFTY FALLS,Data Submitted,0.0,< 5,0.0,
640,THE WATERS OF COVINGTON,Data Submitted,< 5,< 5,0.0,
641,THE WATERS OF DILLSBORO - ROSS MANOR,Data Submitted,21.0,12.0,6.0,
642,THE WATERS OF GREENCASTLE,Data Submitted,0.0,0.0,0.0,
643,THE WATERS OF HUNTINGBURG,Data Submitted,0.0,< 5,0.0,
644,THE WATERS OF INDIANAPOLIS,Data Submitted,61.0,16.0,14.0,
645,THE WATERS OF LEBANON,Data Submitted,38.0,5.0,5.0,
646,THE WATERS OF MARTINSVILLE,Data Submitted,34.0,12.0,9.0,
647,THE WATERS OF MUNCIE,Data Submitted,0.0,0.0,0.0,
648,THE WATERS OF NEW CASTLE,Data Submitted,0.0,0.0,0.0,
649,THE WATERS OF PRINCETON,Data Submitted,0.0,0.0,0.0,
650,THE WATERS OF RISING SUN,Data Submitted,20.0,8.0,5.0,
651,THE WATERS OF SCOTTSBURG,Data Submitted,18.0,13.0,6.0,
652,THE WELLINGTON AT SOUTHPORT,Data Submitted,0.0,0.0,0.0,
