_id,facility_name,facility_submission_status,infected_residents,infected_staff,resident_deaths
370,INDIANA VETERANS HOME,Data Submitted,0,< 5,0
371,JEWEL PLACE,Data Submitted,0,0,0
372,JOURNEY SENIOR LIVING OF MERRILLVILLE,Data Submitted,0,0,0
373,JOURNEY SENIOR LIVING OF VALPARAISO,Data Submitted,0,< 5,0
374,KEEPSAKE VILLAGE OF COLUMBUS,Data Submitted,16,5,< 5
375,KENDALLVILLE MANOR,Data Submitted,0,< 5,0
376,KESSLERWOOD PLACE,Data Submitted,33,9,13
377,KEYSTONE WOODS,Data Submitted,0,0,0
378,KINGSTON AT DUPONT,Data Submitted,0,< 5,0
379,KINGSTON CARE CENTER OF FORT WAYNE,Data Submitted,52,42,15
380,KINGSTON RESIDENCE OF FORT WAYNE,Data Submitted,0,< 5,0
381,KOKOMO HEALTHCARE CENTER,Data Submitted,38,< 5,< 5
382,KOKOMO PLACE,Data Submitted,0,< 5,0
383,LAFAYETTE BICKFORD COTTAGE,Data Submitted,0,0,0
384,LAKE CITY PLACE,Data Submitted,0,0,0
385,LAKE COUNTY NURSING AND REHABILITATION CENTER,Data Submitted,21,9,< 5
386,LAKE PARK RESIDENTIAL CARE,Data Submitted,0,< 5,0
387,LAKEVIEW MANOR,Data Submitted,19,< 5,0
388,LAMPLIGHT INN OF FORT WAYNE,Data Submitted,0,0,0
389,LEGACY LIVING OF JASPER,Data Submitted,0,0,0
390,LIBERTY VILLAGE,Data Submitted,33,13,12
391,LIFE CARE CENTER OF FORT WAYNE,Data Submitted,0,18,0
392,LIFE CARE CENTER OF LAGRANGE,Data Submitted,0,< 5,0
393,LIFE CARE CENTER OF MICHIGAN CITY,Data Submitted,< 5,< 5,0
394,LIFE CARE CENTER OF ROCHESTER,Data Submitted,0,< 5,0
395,LIFE CARE CENTER OF THE WILLOWS,Data Submitted,51,18,11
396,LIFE CARE CENTER OF VALPARAISO,Data Submitted,0,7,0
397,LINCOLN HILLS OF NEW ALBANY,Data Submitted,18,5,< 5
398,LINCOLNSHIRE HEALTH & REHABILITATION CENTER,Data Submitted,11,9,< 5
399,LINCOLNSHIRE PLACE - FORT WAYNE,Data Submitted,0,< 5,0
400,LINDBERG CROSSING SENIOR LIVING,Data Submitted,< 5,< 5,< 5
401,LODGE OF THE WABASH,Data Submitted,34,13,< 5
402,LOOGOOTEE HEALTHCARE & REHABILITATION CENTER,Data Submitted,0,< 5,0
403,LOOGOOTEE NURSING CENTER,Data Submitted,< 5,< 5,0
404,LUTHERAN COMMUNITY HOME,Data Submitted,25,20,< 5
405,LUTHERAN LIFE VILLAGES,Data Submitted,44,23,16
406,LUTHERAN LIFE VILLAGES AT KENDALLVILLE,Data Submitted,66,23,13
407,LUTHERAN LIFE VILLAGES AT PINE VALLEY,Data Submitted,< 5,< 5,0
408,LYND PLACE,Data Submitted,8,< 5,< 5
409,LYNHURST HEALTHCARE,Data Submitted,22,5,< 5
410,MAJESTIC CARE OF AVON,Data Submitted,11,< 5,< 5
411,MAJESTIC CARE OF CONNERSVILLE,Data Submitted,21,9,< 5
412,MAJESTIC CARE OF FORT WAYNE,Data Submitted,42,< 5,6
413,MAJESTIC CARE OF NEW HAVEN,Data Submitted,< 5,10,0
414,MAJESTIC CARE OF NORTH VERNON,Data Submitted,24,7,8
415,MAJESTIC CARE OF SHERIDAN,Data Submitted,0,< 5,0
416,MAJESTIC CARE OF WEST ALLEN,Data Submitted,14,7,< 5
417,MANDERLEY HEALTH CARE CENTER,Data Submitted,0,< 5,0
418,MANOR CARE HEALTH SERVICES SUMMER TRACE,Data Submitted,< 5,< 5,0
419,MANORCARE HEALTH SERVICES,Data Submitted,< 5,< 5,< 5
420,MAPLE MANOR CHRISTIAN HOME,Data Submitted,0,< 5,0
421,MARQUETTE,Data Submitted,17,14,8
422,MASON HEALTH CARE CENTER,Data Submitted,18,11,5
423,MCCORDSVILLE SENIOR LIVING,Data Submitted,6,< 5,5
424,MCGIVNEY HEALTH CARE CENTER,Data Submitted,17,< 5,< 5
425,MCKINNEY PLACE,Data Submitted,0,< 5,0
426,MEADOW BROOK SENIOR LIVING,Data Submitted,0,0,0
427,MEADOWOOD HEALTH PAVILION,Data Submitted,< 5,8,0
428,MEADOWS MANOR EAST,Data Submitted,11,17,6
429,MEADOWS MANOR NORTH,Data Submitted,0,0,0
430,MEMORIAL HOSPITAL - SKILLED CARING CENTER,Data Submitted,< 5,< 5,0
431,MERIDIAN NURSING AND REHABILITATION CENTER,Data Submitted,16,6,< 5
432,MIDDLETOWN NURSING AND REHABILITATION CENTER,Data Submitted,< 5,< 5,0
433,MILL POND HEALTH CAMPUS,Data Submitted,< 5,< 5,0
434,MILLER BEACH TERRACE,Data Submitted,0,0,0
435,MILLER'S AT OAK POINTE,Data Submitted,0,< 5,0
436,MILLER'S HEALTH & REHAB,Data Submitted,< 5,< 5,0
437,MILLER'S MERRY MANOR - CHESTERFIELD,Data Submitted,0,0,0
438,MILLER'S MERRY MANOR - COLUMBIA CITY,Data Submitted,0,5,0
439,MILLER'S MERRY MANOR - CULVER,Data Submitted,0,< 5,0
440,MILLER'S MERRY MANOR - DUNKIRK,Data Submitted,0,< 5,0
441,MILLER'S MERRY MANOR - FORT WAYNE,Data Submitted,7,< 5,< 5
442,MILLER'S MERRY MANOR - GARRETT,Data Submitted,0,0,0
443,MILLER'S MERRY MANOR - HARTFORD CITY,Data Submitted,0,< 5,0
444,MILLER'S MERRY MANOR - HOBART,Data Submitted,31,8,7
445,MILLER'S MERRY MANOR - HOPE,Data Submitted,18,8,< 5
446,MILLER'S MERRY MANOR - HUNTINGTON,Data Submitted,0,7,0
447,MILLER'S MERRY MANOR - INDY EAST,Data Submitted,52,18,9
448,MILLER'S MERRY MANOR - LAGRANGE,Data Submitted,0,< 5,0
449,MILLER'S MERRY MANOR - LOGANSPORT,Data Submitted,17,14,0
450,MILLER'S MERRY MANOR - MARION,Data Submitted,0,< 5,0
451,MILLER'S MERRY MANOR - MIDDLETOWN,Data Submitted,0,0,0
452,MILLER'S MERRY MANOR - MOORESVILLE,Data Submitted,< 5,0,0
453,MILLER'S MERRY MANOR - NEW CARLISLE,Data Submitted,< 5,< 5,0
454,MILLER'S MERRY MANOR - PERU,Data Submitted,0,< 5,0
455,MILLER'S MERRY MANOR - PLYMOUTH,Data Submitted,61,38,19
456,MILLER'S MERRY MANOR - ROCKPORT,Data Submitted,< 5,6,0
457,MILLER'S MERRY MANOR - RUSHVILLE,Data Submitted,0,0,0
458,MILLER'S MERRY MANOR - SULLIVAN,Data Submitted,24,10,7
459,MILLER'S MERRY MANOR - SYRACUSE,Data Submitted,< 5,< 5,0
460,MILLER'S MERRY MANOR - TIPTON,Data Submitted,77,22,17
461,MILLER'S MERRY MANOR - WABASH EAST,Data Submitted,0,< 5,0
462,MILLER'S MERRY MANOR - WABASH WEST,Data Submitted,0,< 5,0
463,MILLER'S MERRY MANOR - WAKARUSA,Data Submitted,68,28,9
464,MILLER'S MERRY MANOR - WALKERTON,Data Submitted,0,< 5,0
465,MILLER'S MERRY MANOR - WARSAW,Data Submitted,< 5,10,0
466,MILLER'S SENIOR LIVING COMMUNITY,Data Submitted,21,10,7
467,MILNER COMMUNITY HEALTH CARE,Data Submitted,0,< 5,0
468,MITCHELL MANOR,Data Submitted,46,8,14
469,MONROE PLACE,Data Submitted,< 5,0,< 5
470,MORGANTOWN HEALTH CARE,Data Submitted,0,0,0
471,MORNING BREEZE RETIREMENT COMMUNITY AND HEALTHCARE,Data Submitted,34,18,9
472,MORNING POINTE OF FRANKLIN,Data Submitted,< 5,< 5,< 5
473,MORNING VIEW NURSING AND REHABILITATION CENTER,Data Submitted,< 5,0,< 5
474,MORRISON WOODS HEALTH CAMPUS,Data Submitted,< 5,< 5,0
475,MORRISTOWN MANOR,Data Submitted,60,16,14
476,MULBERRY HEALTH & REHABILITATION CENTER,Data Submitted,44,47,8
477,MUNSTER MED-INN,Data Submitted,51,24,17
478,NEW ALBANY NURSING AND REHABILITATION CENTER,Data Submitted,49,< 5,< 5
479,NEWBURGH HEALTH CARE,Data Submitted,7,< 5,< 5
480,NORTH RIDGE VILLAGE NURSING & REHABILITATION CENTER,Data Submitted,< 5,< 5,0
481,NORTH RIVER HEALTH CAMPUS,Data Submitted,< 5,< 5,0
482,NORTH WOODS VILLAGE AT EDISON LAKES,Data Submitted,12,7,< 5
483,NORTH WOODS VILLAGE AT INVERNESS LAKE,Data Submitted,< 5,< 5,0
484,NORTHERN LAKES NURSING AND REHABILITATION CENTER,Data Submitted,0,0,0
485,NORTHVIEW HEALTH AND LIVING,Data Submitted,0,< 5,0
486,NORTHWEST MANOR HEALTH CARE CENTER,Data Submitted,74,53,23
487,OAK GROVE CHRISTIAN RETIREMENT VILLAGE,Data Submitted,0,< 5,0
488,OAK VILLAGE,Data Submitted,0,< 5,0
489,OAKBROOK VILLAGE,Data Submitted,0,0,0
490,OAKWOOD HEALTH CAMPUS,Data Submitted,36,20,12
491,OASIS AT 30TH,Data Submitted,< 5,0,0
492,OASIS AT 56TH,Data Submitted,0,0,0
493,OASIS DEMENTIA CARE,Data Submitted,0,0,0
494,ORCHARD POINTE HEALTH CAMPUS,Data Submitted,0,< 5,0
495,OSSIAN HEALTH CARE AND REHABILITATION CENTER,Data Submitted,8,< 5,< 5
496,OTTERBEIN FRANKLIN SENIORLIFE COMM & COM CARE,Data Submitted,60,35,20
497,OWEN VALLEY HEALTH CAMPUS,Data Submitted,0,0,0
498,PADDOCK SPRINGS,Data Submitted,< 5,6,< 5
499,PAOLI HEALTH AND LIVING COMMUNITY,Data Submitted,75,26,19
500,PARK PLACE HEALTH AND WELLNESS CENTER,Data Submitted,< 5,< 5,0
501,PARK PLACE SENIOR LIVING,Data Submitted,< 5,8,< 5
502,PARKER HEALTH CARE & REHABILITATION CENTER,Data Submitted,0,< 5,0
503,PARKVIEW CARE CENTER,Data Submitted,0,0,0
504,PARKVIEW HAVEN,Data Submitted,0,0,0
505,PEABODY RETIREMENT COMMUNITY,Data Submitted,8,75,< 5
506,PERSIMMON RIDGE REHABILITATION CENTRE,Data Submitted,0,< 5,0
507,PILGRIM MANOR,Data Submitted,0,< 5,0
508,PINE HAVEN HEALTH AND REHABILITATION CENTER,Data Submitted,37,13,< 5
509,PINE KNOLL ASSISTED LIVING CENTER,Data Submitted,0,0,0
510,PINEKNOLL REHABILITATION CENTRE,Data Submitted,0,0,0
511,PLAINFIELD HEALTH CARE CENTER,Data Submitted,< 5,< 5,< 5
512,PLEASANT VIEW LODGE,Data Submitted,0,< 5,0
513,PORTAGE MANOR HEALTH CARE FACILITY,Data Submitted,8,< 5,0
514,PRAIRIE LAKES HEALTH CAMPUS,Data Submitted,7,10,0
515,PREMIER HEALTHCARE OF NEW HARMONY,Data Submitted,0,0,0
516,PRESENCE SACRED HEART HOME,Data Submitted,28,7,11
517,PRIMROSE MEMORY CARE OF ANDERSON,Data Submitted,0,0,0
518,PRIMROSE OF MISHAWAKA,Data Submitted,< 5,< 5,0
519,PRIMROSE OF NEWBURGH,Data Submitted,0,0,0
520,PRIMROSE RETIREMENT COMMUNITY OF ANDERSON,Data Submitted,0,0,0
521,PRIMROSE RETIREMENT COMMUNITY OF KOKOMO,Data Submitted,< 5,< 5,< 5
522,PROVIDENCE ANDERSON,Data Submitted,8,< 5,6
523,PROVIDENCE HEALTH CARE CENTER,Data Submitted,0,< 5,0
524,PULASKI HEALTH CARE CENTER,Data Submitted,0,< 5,0
525,RANDOLPH NURSING HOME,Data Submitted,0,0,0
526,RAWLINS HOUSE HEALTH & LIVING COMMUNITY,Data Submitted,10,7,< 5
527,REHABILITATION CENTER AT HARTSFIELD VILLAGE,Data Submitted,< 5,< 5,< 5
528,RENSSELAER CARE CENTER,Data Submitted,0,< 5,0
529,RESIDENCES AT COFFEE CREEK,Data Submitted,0,< 5,0
530,RESIDENCES AT DEER CREEK,Data Submitted,< 5,< 5,0
531,RETREAT AT THE STRATFORD,Data Submitted,15,16,5
532,RICHLAND BEAN BLOSSOM HEALTH CARE CENTER,Data Submitted,< 5,< 5,< 5
533,RIDGEWOOD HEALTH CAMPUS,Data Submitted,0,< 5,0
534,RIPLEY CROSSING,Data Submitted,0,< 5,0
535,RITTENHOUSE VILLAGE AT MICHIGAN CITY,Data Submitted,26,8,8
536,RITTENHOUSE VILLAGE AT NORTHSIDE,Data Submitted,< 5,0,< 5
537,RITTENHOUSE VILLAGE AT PORTAGE,Data Submitted,0,0,0
538,RITTENHOUSE VILLAGE AT VALPARAISO,Data Submitted,0,0,0
539,RIVER CROSSING ASSISTED LIVING,Data Submitted,0,< 5,0
540,RIVER POINTE HEALTH CAMPUS,Data Submitted,< 5,< 5,0
541,RIVER TERRACE HEALTH CAMPUS,Data Submitted,< 5,< 5,0
542,RIVER TERRACE HEALTH CARE CENTER,Data Submitted,0,< 5,0
543,RIVERBEND,Data Submitted,0,0,0
544,RIVEROAKS HEALTH CAMPUS,Data Submitted,< 5,< 5,0
545,RIVERWALK COMMUNITIES,Data Submitted,< 5,< 5,< 5
546,ROBIN RUN,Data Submitted,< 5,< 5,< 5
547,ROBIN RUN HEALTH CENTER,Data Submitted,33,13,5
548,ROLLING HILLS HEALTHCARE CENTER,Data Submitted,< 5,< 5,0
549,ROLLING MEADOWS HEALTH CARE CENTER,Data Submitted,44,10,10
550,ROSE SENIOR LIVING CARMEL,Data Submitted,11,< 5,0
551,ROSEWOOD MANOR,Data Submitted,< 5,< 5,0
552,RURAL HEALTH CARE CENTER,Data Submitted,< 5,< 5,< 5
553,SAGE BLUFF HEALTH & REHAB CENTER,Data Submitted,0,0,0
554,SAINT ANNE COMMUNITIES - RANDALLIA PLACE,Data Submitted,0,6,0
555,SAINT ANNE COMMUNITIES - VICTORY NOLL,Data Submitted,0,0,0
556,SAINT ANTHONY - CROWN POINT,Data Submitted,79,27,23
557,SAINT ANTHONY REHAB AND NURSING CENTER,Data Submitted,0,< 5,0
558,SANCTUARY AT HOLY CROSS,Data Submitted,50,20,12
559,SANCTUARY AT ST PAUL'S,Data Submitted,20,16,7
560,SANDERS GLEN,Data Submitted,0,0,0
561,SCENIC HILLS AT THE MONASTERY,Data Submitted,< 5,< 5,< 5
562,SEBO'S NURSING AND REHABILITATION CENTER,Data Submitted,57,20,18
563,SELLERSBURG HEALTHCARE CENTER,Data Submitted,17,14,< 5
564,SENIOR SUITES AT THE LELAND,Data Submitted,0,0,0
565,SETTLERS PLACE,Data Submitted,0,0,0
566,SEYMOUR PLACE,Data Submitted,0,< 5,0
567,SHADY NOOK CARE CENTER,Data Submitted,57,17,18
568,SIGNATURE HEALTHCARE AT PARKWOOD,Data Submitted,34,23,5
569,SIGNATURE HEALTHCARE OF BLUFFTON,Data Submitted,0,< 5,0
570,SIGNATURE HEALTHCARE OF BREMEN,Data Submitted,0,5,0
571,SIGNATURE HEALTHCARE OF FORT WAYNE,Data Submitted,0,< 5,0
572,SIGNATURE HEALTHCARE OF LAFAYETTE,Data Submitted,12,5,0
573,SIGNATURE HEALTHCARE OF MUNCIE,Data Submitted,55,17,9
574,SIGNATURE HEALTHCARE OF NEWBURGH,Data Submitted,49,13,13
575,SIGNATURE HEALTHCARE OF SOUTH BEND,Data Submitted,0,< 5,0
576,SIGNATURE HEALTHCARE OF TERRE HAUTE,Data Submitted,13,13,0
577,SILVER BIRCH OF COOK ROAD,Data Submitted,0,0,0
578,SILVER BIRCH OF EVANSVILLE,Data Submitted,0,< 5,0
579,SILVER BIRCH OF FORT WAYNE,Data Submitted,0,< 5,0
580,SILVER BIRCH OF HAMMOND,Data Submitted,< 5,< 5,0
581,SILVER BIRCH OF KOKOMO,Data Submitted,0,0,0
582,SILVER BIRCH OF MICHIGAN CITY,Data Submitted,0,< 5,0
583,SILVER BIRCH OF MISHAWAKA,Data Submitted,0,0,0
584,SILVER BIRCH OF MUNCIE,Data Submitted,< 5,< 5,< 5
585,SILVER BIRCH OF TERRE HAUTE,Data Submitted,0,< 5,0
586,SILVER MEMORIES HEALTH CARE,Data Submitted,0,0,0
587,SILVER OAKS HEALTH CAMPUS,Data Submitted,5,< 5,< 5
588,SIMMONS LOVING CARE HEALTH FACILITY,Data Submitted,0,0,0
589,SOLARBON TERRACE,Data Submitted,< 5,< 5,0
590,SOUTH SHORE HEALTH & REHABILITATION CENTER,Data Submitted,34,16,8
591,SOUTHERN INDIANA REHABILITATION HOSPITAL,Data Submitted,5,< 5,< 5
592,SOUTHFIELD VILLAGE,Data Submitted,15,10,0
593,SOUTHPOINTE HEALTHCARE CENTER,Data Submitted,20,9,7
594,SOUTHWOOD HEALTHCARE CENTER,Data Submitted,34,14,5
595,SPRENGER HEALTH CARE OF MISHAWAKA,Data Submitted,< 5,< 5,0
596,SPRING MILL HEALTH CAMPUS,Data Submitted,5,5,0
597,SPRINGHURST HEALTH CAMPUS,Data Submitted,< 5,< 5,0
598,ST ANDREWS HEALTH CAMPUS,Data Submitted,< 5,< 5,0
599,ST AUGUSTINE HOME FOR THE AGED,Data Submitted,14,9,< 5
600,ST CHARLES HEALTH CAMPUS,Data Submitted,33,23,10
601,ST ELIZABETH HEALTHCARE CENTER,Data Submitted,42,37,11
602,ST MARY HEALTHCARE CENTER,Data Submitted,0,< 5,0
603,ST PAUL HERMITAGE,Data Submitted,< 5,10,0
604,STONEBRIDGE HEALTH CAMPUS,Data Submitted,< 5,< 5,< 5
605,STONECROFT HEALTH CAMPUS,Data Submitted,< 5,< 5,0
606,SUGAR CREEK REHABILITATION AND CONVALESCENT CENTER,Data Submitted,0,< 5,0
607,SUGAR FORK CROSSING,Data Submitted,0,0,0
608,SUGAR GROVE SENIOR LIVING,Data Submitted,0,0,0
609,SUMMERFIELD HEALTH CARE CENTER,Data Submitted,0,0,0
610,SUMMIT HEALTH AND LIVING,Data Submitted,18,27,< 5
611,SUMMIT PLACE WEST,Data Submitted,0,0,0
612,SUNRISE ON OLD MERIDIAN,Data Submitted,< 5,< 5,0
613,SWISS VILLAGE,Data Submitted,< 5,6,0
614,SYMPHONY OF CHESTERTON,Data Submitted,< 5,5,< 5
615,SYMPHONY OF CROWN POINT,Data Submitted,0,10,0
616,SYMPHONY OF DYER,Data Submitted,71,23,11
617,TANGLEWOOD TRACE,Data Submitted,0,0,0
618,THE CEDARS,Data Submitted,27,30,8
619,THE ENCLAVE SENIOR LIVING AT SAXONY,Data Submitted,13,< 5,6
620,THE HARRISON AT EAGLE VALLEY,Data Submitted,25,17,5
621,THE HEARTH AT JUDAY CREEK,Data Submitted,0,< 5,0
622,THE HEARTH AT PRESTWICK,Data Submitted,0,0,0
623,THE HEARTH AT STONES CROSSING,Data Submitted,20,5,5
624,THE HEARTH AT SYCAMORE VILLAGE,Data Submitted,< 5,0,0
625,THE HEARTH AT TUDOR GARDENS,Data Submitted,15,7,5
626,THE LANE HOUSE,Data Submitted,0,< 5,0
627,THE LAURELS OF DEKALB,Data Submitted,56,21,8
628,THE LODGE AT SUMMERS POINTE,Data Submitted,0,0,0
629,THE MANSION ON MAIN,Data Submitted,0,0,0
630,THE MILTON HOME,Data Submitted,< 5,< 5,< 5
631,THE RESTORACY OF WHITESTOWN,Data Submitted,< 5,< 5,0
632,THE SPRINGS OF LAFAYETTE,Data Submitted,0,0,0
633,THE SPRINGS OF MOORESVILLE,Data Submitted,8,6,< 5
634,THE SPRINGS OF RICHMOND,Data Submitted,< 5,< 5,< 5
635,THE TOWNE HOUSE RETIREMENT CENTER,Data Submitted,5,< 5,< 5
636,THE VILLAGE AT HAMILTON POINTE,Data Submitted,36,32,12
637,THE VILLAGES AT HISTORIC SILVERCREST,Data Submitted,21,13,< 5
638,THE WATERS OF BATESVILLE,Data Submitted,0,< 5,0
639,THE WATERS OF CLIFTY FALLS,Data Submitted,0,< 5,0
640,THE WATERS OF COVINGTON,Data Submitted,< 5,< 5,0
641,THE WATERS OF DILLSBORO - ROSS MANOR,Data Submitted,25,12,10
642,THE WATERS OF GREENCASTLE,Data Submitted,0,< 5,0
643,THE WATERS OF HUNTINGBURG,Data Submitted,0,< 5,0
644,THE WATERS OF INDIANAPOLIS,Data Submitted,61,16,14
645,THE WATERS OF LEBANON,Data Submitted,35,5,5
646,THE WATERS OF MARTINSVILLE,Data Submitted,32,11,9
647,THE WATERS OF MUNCIE,Data Submitted,0,< 5,0
648,THE WATERS OF NEW CASTLE,Data Submitted,0,0,0
649,THE WATERS OF PRINCETON,Data Submitted,0,< 5,0
650,THE WATERS OF RISING SUN,Data Submitted,24,19,8
651,THE WATERS OF SCOTTSBURG,Data Submitted,18,13,6
652,THE WELLINGTON AT SOUTHPORT,Data Submitted,0,< 5,0
653,THE WOODLANDS,Data Submitted,< 5,< 5,0
654,THORNTON TERRACE HEALTH CAMPUS,Data Submitted,< 5,< 5,0
655,TIMBER CREEK VILLAGE,Data Submitted,0,0,0
656,TIMBERCREST SENIOR LIVING COMMUNITY,Data Submitted,< 5,< 5,< 5
657,TIPTON PLACE,Data Submitted,0,< 5,0
658,TOWNE CENTRE ASSISTED LIVING,Data Submitted,< 5,< 5,0
659,TOWNE PARK ASSISTED LIVING,Data Submitted,0,0,0
660,TRADITIONS AT REAGAN PARK,Data Submitted,25,8,7
661,TRADITIONS AT SOLANA,Data Submitted,< 5,< 5,0
662,TRAIL CREEK PLACE - ASSISTED LIVING,Data Submitted,6,0,< 5
663,TRANCENDENT HEALTHCARE NORTH,Data Submitted,0,< 5,0
664,TRANQUILITY NURSING AND REHAB,Data Submitted,0,0,0
665,TRANSCENDENT HEALTHCARE OF BOONVILLE,Data Submitted,8,7,0
666,TRANSCENDENT HEALTHCARE OF OWENSVILLE,Data Submitted,0,< 5,0
667,TWIN CITY HEALTH CARE,Data Submitted,0,< 5,0
668,UNIVERSITY HEIGHTS HEALTH AND LIVING COMMUNITY,Data Submitted,6,7,< 5
669,UNIVERSITY NURSING AND REHABILITATION CENTER,Data Submitted,0,< 5,0
670,UNIVERSITY PLACE HEALTH CENTER AND ASSISTED LIVING,Data Submitted,0,0,0
671,VALLEY VIEW HEALTHCARE CENTER,Data Submitted,0,5,0
672,VANNONI LIVING CENTER,Data Submitted,0,0,0
673,VERMILLION CONVALESCENT CENTER,Data Submitted,0,< 5,0
674,VERMILLION PLACE,Data Submitted,0,0,0
675,VERNON HEALTH & REHABILITATION,Data Submitted,0,0,0
676,VILLAGES AT OAK RIDGE,Data Submitted,< 5,< 5,0
677,VILLAS OF GUERIN WOODS,Data Submitted,< 5,< 5,< 5
678,VILLAS OF HOLLY BROOK INDIANA,Data Submitted,0,0,0
679,VIRGINIA PLACE,Data Submitted,0,0,0
680,WABASH BICKFORD COTTAGE OPCO,Data Submitted,0,0,0
681,WALKER PLACE,Data Submitted,0,0,0
682,WALNUT CREEK ALZHEIMER'S,Data Submitted,< 5,< 5,0
683,WARSAW MEADOWS,Data Submitted,< 5,< 5,0
684,WASHINGTON NURSING CENTER,Data Submitted,0,0,0
685,WATERFORD AT EDISON LAKES,Data Submitted,< 5,< 5,0
686,WATERFORD CROSSING,Data Submitted,< 5,< 5,< 5
687,WATERFORD PLACE HEALTH CAMPUS,Data Submitted,0,0,0
688,WEDGEWOOD HEALTHCARE CENTER,Data Submitted,70,24,20
689,WELLBROOKE OF AVON,Data Submitted,10,< 5,< 5
690,WELLBROOKE OF CARMEL,Data Submitted,< 5,9,< 5
691,WELLBROOKE OF CRAWFORDSVILLE,Data Submitted,0,0,0
692,WELLBROOKE OF KOKOMO,Data Submitted,< 5,< 5,0
693,WELLBROOKE OF SOUTH BEND,Data Submitted,< 5,< 5,0
694,WELLBROOKE OF WABASH,Data Submitted,0,< 5,0
695,WELLBROOKE OF WESTFIELD,Data Submitted,< 5,7,< 5
696,WESLEY MANOR HEALTH CENTER,Data Submitted,0,7,0
697,WESLEYAN HEALTH CARE CENTER,Data Submitted,0,5,0
698,WEST RIVER HEALTH CAMPUS,Data Submitted,0,< 5,0
699,WESTMINSTER HEALTH CARE CENTER,Data Submitted,0,< 5,0
700,WESTMINSTER VILLAGE - MUNCIE,Data Submitted,0,< 5,0
701,WESTMINSTER VILLAGE - WEST LAFAYETTE,Data Submitted,0,7,0
702,WESTMINSTER VILLAGE HEALTH & REHAB,Data Submitted,< 5,< 5,< 5
703,WESTMINSTER VILLAGE NORTH,Data Submitted,20,26,14
704,WESTPARK A WATERS COMMUNITY,Data Submitted,82,< 5,15
705,WESTRIDGE HEALTH CARE CENTER,Data Submitted,0,0,0
706,WESTSIDE VILLAGE NURSING CENTER,Data Submitted,25,6,7
707,WHITE OAK HEALTH CAMPUS,Data Submitted,12,13,< 5
708,WHITE RIVER LODGE,Data Submitted,0,< 5,0
709,WHITEWATER COMMONS SENIOR LIVING,Data Submitted,0,< 5,0
710,WHITLOCK PLACE,Data Submitted,0,0,0
711,WICKSHIRE FORT HARRISON,Data Submitted,0,< 5,0
712,WICKSHIRE WEST LAFAYETTE,Data Submitted,0,0,0
713,WILDWOOD HEALTHCARE CENTER,Data Submitted,167,36,19
714,WILLOW CROSSING HEALTH & REHABILITATION CENTER,Data Submitted,28,14,0
715,WILLOW LAKE PLACE,Data Submitted,8,5,< 5
716,WILLOW MANOR,Data Submitted,0,< 5,0
717,WILLOWBEND LIVING CENTER,Data Submitted,0,< 5,0
718,WINDSOR RIDGE,Data Submitted,0,0,0
719,WINTERSONG VILLAGE,Data Submitted,0,0,0
720,WITHAM EXTENDED CARE,Data Submitted,0,0,0
721,WOOD RIDGE ASSISTED LIVING,Data Submitted,0,< 5,0
722,WOODBRIDGE HEALTH CAMPUS,Data Submitted,0,9,0
723,WOODLAND HILLS CARE CENTER,Data Submitted,< 5,< 5,0
724,WOODLAND MANOR,Data Submitted,< 5,< 5,0
725,WOODLAND TERRACE OF CARMEL,Data Submitted,< 5,< 5,< 5
726,WOODLAND TERRACE OF NEW PALESTINE,Data Submitted,< 5,0,< 5
727,WOODMONT HEALTH CAMPUS,Data Submitted,41,23,10
728,WOODVIEW A WATERS COMMUNITY,Data Submitted,0,< 5,0
729,WORTHINGTON PLACE,Data Submitted,0,0,0
730,WYNDMOOR ASSISTED LIVING,Data Submitted,0,< 5,0
731,WYNDMOOR OF CASTLETON,Data Submitted,0,0,0
732,WYNDMOOR OF EVANSVILLE,Data Submitted,0,0,0
733,WYNDMOOR OF MARION,Data Submitted,0,0,0
734,WYNDMOOR OF PORTAGE,Data Submitted,0,0,0
735,YORK PLACE,Data Submitted,0,< 5,0
736,YORKTOWN MANOR,Data Submitted,61,31,16
737,INDIANA MASONIC HOME HEALTH CENTER,Data Submitted,0,0,0
738,MILLER'S MERRY MANOR - PORTAGE,Data Submitted,35,13,13
739,ATRIA- NEWBURGH,Data Submitted,0,< 5,0
740,BELL TRACE SENIOR LIVING COMMUNITY,Data Submitted,< 5,0,0
741,CENTURY FIELDS RETIREMENT COMMUNITY,Data Submitted,5,< 5,< 5
742,HHC-ASC AMERICAN VILLAGE ASSISTED LIVING,Data Submitted,26,0,< 5
743,HHC-ASC BEECH GROVE MEADOWS ASSISTED LIVING,Data Submitted,< 5,0,< 5
744,HHC-ASC MEADOW LAKES ASSISTED LIVING,Data Submitted,8,0,< 5
745,HHC-ASC ZIONSVILLE MEADOWS ASSISTED LIVING,Data Submitted,0,0,0
746,HOLY CROSS HOUSE AT NOTRE DAME,Data Submitted,< 5,0,0
747,JEFFERSON MANOR,Data Submitted,0,< 5,0
748,MAGNOLIA SPRINGS BRIDGEWATER,Data Submitted,< 5,< 5,0
749,NORTHWOOD MANOR,Data Submitted,< 5,0,0
750,OSSIAN ASSISTED LIVING COMMUNITY,Data Submitted,0,0,0
751,PARK SQUARE MANOR,Data Submitted,0,0,0
752,SENIOR LIVING AT FOREST RIDGE,Data Submitted,0,0,0
